# _source: notebook.py::s4c_volume_measure
n_ball,V_shell,V_naive,V_sites_sum,naive_over_shell_minus_1,leading_minus_3_over_2n,remainder,R_outer_over_a
1,13.6135681656,4.18879020479,13.6135681656,-0.692307692308,-1.5,0.807692307692,1.5
2,64.9262481742,33.5103216383,64.9262481742,-0.483870967742,-0.75,0.266129032258,2.5
3,179.070781255,113.097335529,179.070781255,-0.368421052632,-0.5,0.131578947368,3.5
4,381.179908636,268.082573106,381.179908636,-0.296703296703,-0.375,0.0782967032967,4.5
5,696.386371546,523.598775598,696.386371546,-0.248120300752,-0.3,0.0518796992481,5.5
6,1149.82291121,904.778684234,1149.82291121,-0.213114754098,-0.25,0.0368852459016,6.5
7,1766.62226887,1436.75504024,1766.62226887,-0.186721991701,-0.214285714286,0.0275637225845,7.5
8,2571.91718574,2144.66058485,2571.91718574,-0.166123778502,-0.1875,0.0213762214984,8.5
