# _source: notebook.py::s3_extremal_states
name,label,N,site,n_support,e_min,achieved,gap,gap_rel,bound_sharp,ratio,purity_dev_max,margin_star,cond,sigma_min,sigma_max,t0_energy_density_at_site,min_time_profile,truncated_operator_dev,untruncated_time_integral,support_truncation_rel_dev,propagator_crosscheck_dev
gaussian_tau8,gaussian(tau0=8, t0=0),801,400,67,-0.00585811814486,-0.00585749069808,6.27446780827e-07,0.000107107225445,-0.00587697482862,0.996791430233,6.71429689625e-10,-6.66657118398e-10,100000000.229,2.21177411034e-21,7.79601744232,-0.000824841883104,-0.000824841883104,0,-0.00585748361067,1.20997433249e-06,4.48859699409e-17
cos2_T24,cos2(T=24, t0=0),577,288,53,-0.00543196515023,-0.00543129993798,6.65212251847e-07,0.000122462540434,-0.00545415391248,0.995931768225,5.61982349545e-10,-5.0331699919e-10,100000000.16,4.93205619428e-20,9.06173752455,-0.000453347350804,-0.000453347350804,0,-0.00543145374449,2.83185457686e-05,1.14383329197e-16
bump4_T24,bump4(T=24),577,288,55,-0.00536335350103,-0.00536264454538,7.08955648778e-07,0.000132185142867,-0.00538937373433,0.995171937486,8.34707192254e-10,-8.34707192254e-10,100000000.123,1.44431726781e-20,9.52514809848,-0.000367660928346,-0.000367660928346,0,-0.00536271702627,1.35158865221e-05,1.46855184263e-16
