# _source: notebook.py::s4d_scan
n_ball,tau,N,rho,x,e_min_total,l_stop,converged,tail_frac,C_shell,C_naive,ratio_shell_FE,ratio_naive_FE,V_shell,V_naive,fpp2,sum_e_dropped,max_residual,max_z_norm,n_sectors_regularized,seconds,rho_nominal,box_ratio,ratio_shell_FE_raw,ratio_naive_FE_raw,box_correction
8,21.25,356,0.4,0.0470588235294,-0.000946837177879,8,True,1.79605338359e-14,0.00265741220488,0.00318681854257,0.419769114954,0.503394993324,2571.91718574,2144.66058485,0.000138534964125,-5.66874218089e-12,1.95579991935e-18,0.815624512124,1,2.04772996902,0.4,16.7529411765,0.419641715085,0.503242213011,0.000127399869576
2,7.5,130,0.333333333333,0.133333333333,-0.000548623566143,8,True,9.78985739644e-15,0.00268164782166,0.00519569265447,0.423580024708,0.820686297872,64.9262481742,33.5103216383,0.00315102906828,-1.63567800672e-12,5.70743956054e-16,0.812985963186,1,0.131438970566,0.333333333333,17.3333333333,0.423468850286,0.820470897429,0.000111174422478
3,10.5,179,0.333333333333,0.0952380952381,-0.000555884679406,8,True,1.30914132132e-14,0.00270328399927,0.00428019966551,0.427004315431,0.676090166099,179.070781255,113.097335529,0.00114833420856,-2.53120321901e-12,5.7058293481e-16,0.978343120755,1,0.378724098206,0.333333333333,17.0476190476,0.426885498506,0.675902039301,0.000118816925416
4,13.5,228,0.333333333333,0.0740740740741,-0.000558787000212,8,True,3.55230891053e-15,0.00271319743691,0.0038578276056,0.428574312923,0.609379101188,381.179908636,268.082573106,0.000540299908827,-2.99802913055e-12,3.09244070262e-18,0.999855888865,0,0.647327899933,0.333333333333,16.8888888889,0.428450965829,0.609203717038,0.00012334709444
5,16.5,277,0.333333333333,0.0606060606061,-0.000560226158303,8,True,2.40967265718e-15,0.00271849634128,0.0036156001339,0.429414077905,0.571120723613,696.386371546,523.598775598,0.000295926847133,-3.17986721617e-12,1.86581859429e-18,0.997816974624,0,1.14269423485,0.333333333333,16.7878787879,0.429287735267,0.570952687905,0.000126342637341
6,19.5,326,0.333333333333,0.0512820512821,-0.000561041462012,8,True,5.51012359804e-15,0.00272164598309,0.00345875843684,0.429913576636,0.546348503641,1149.82291121,904.778684234,0.000179280215537,-3.57999844119e-12,2.31028518369e-18,0.999906784209,0,1.74952101707,0.333333333333,16.7179487179,0.429785106766,0.546185239849,0.000128469869487
8,25.5,424,0.333333333333,0.0392156862745,-0.00056188198542,8,True,3.54647767036e-15,0.0027250374144,0.0032679159618,0.430451949796,0.51620604917,2571.91718574,2144.66058485,8.01706968318e-05,-4.65635656613e-12,3.01398200816e-18,0.895179246501,0,3.51310586929,0.333333333333,16.6274509804,0.430320660133,0.516048604144,0.000131289662862
2,10,170,0.25,0.1,-0.000237585271924,7,True,1.30409537925e-14,0.00275272614478,0.00533340690551,0.434813242988,0.842450658289,64.9262481742,33.5103216383,0.00132934038818,-1.31378171721e-12,9.93463620751e-18,0.70182188209,2,0.257802963257,0.25,17,0.434693089176,0.842217860279,0.000120153811569
3,14,235,0.25,0.0714285714286,-0.000240644385456,7,True,3.99734416719e-14,0.002773951812,0.00439209036901,0.438171320012,0.693771256685,179.070781255,113.097335529,0.000484453494234,-1.82445839101e-12,1.26673885578e-17,0.813840388861,1,0.666692972183,0.25,16.7857142857,0.438044912195,0.693571110975,0.000126407817007
4,18,300,0.25,0.0555555555556,-0.000241867842014,7,True,1.11241061691e-14,0.00278374495984,0.00395813736477,0.439721442464,0.625228926004,381.179908636,268.082573106,0.000227939024036,-2.874138015e-12,7.59523108711e-19,0.81558817115,0,1.18920302391,0.25,16.6666666667,0.439591384114,0.625043999288,0.000130058349789
5,22,365,0.25,0.0454545454545,-0.000242474858354,7,True,1.61344447229e-14,0.00278899858389,0.00370936811657,0.440553453335,0.585936092936,696.386371546,523.598775598,0.000124844138634,-3.91966495991e-12,3.79961864293e-19,0.999973719892,0,1.90530586243,0.25,16.5909090909,0.44042100317,0.585759934217,0.000132450164862
