# _source: notebook.py::s2c_mass_axis
tau0,g,mu,N,n_support,e_min,bound,ratio,gap_rel,margin_star
8,100,0.08,801,67,-0.00553641077629,-0.00587697482862,0.94205112966,2.14010859241e-06,-6.59836851824e-10
8,100,0.04,801,67,-0.00575792104231,-0.00587697482862,0.979742335166,2.62794220145e-06,-8.76644035142e-10
8,100,0.02,801,67,-0.00582721532043,-0.00587697482862,0.991533142536,5.2588051774e-06,-6.00587968247e-10
8,100,0.01,801,67,-0.00584840970932,-0.00587697482862,0.995139485851,1.52737189857e-05,-9.64647139945e-10
8,100,0.005,801,67,-0.00585511718365,-0.00587697482862,0.996280799968,4.0048794016e-05,-8.54767090441e-10
8,100,0,801,67,-0.00585811814486,-0.00587697482862,0.996791430233,0.000107107225445,-6.66657118398e-10
