# _source: notebook.py::s2b_box_axis
tau0,g,mu,N,n_support,e_min,bound,ratio,gap_rel,margin_star
8,40,0,321,67,-0.00584310092586,-0.00587697482862,0.994236166778,0.000107338410482,-7.49891704288e-10
8,56,0,449,67,-0.00585183729245,-0.00587697482862,0.995722708213,0.000107151165759,-1.26504340336e-09
8,80,0,641,67,-0.00585650034411,-0.00587697482862,0.996516152423,0.000107130609597,-7.57278184604e-10
8,120,0,961,67,-0.00585899837768,-0.00587697482862,0.996941206748,0.000107066077397,-9.34988808599e-10
8,160,0,1281,67,-0.00585987490161,-0.00587697482862,0.997090352178,0.00010705813313,-9.8648672564e-10
8,220,0,1761,67,-0.00586040664909,-0.00587697482862,0.997180831973,0.000107012176219,-9.6692526208e-10
