lam,d,proxyEN_8+8,proxyEN_8+8_2chi,proxyMI_8+8,proxyMI_8+8_2chi
0.5,6,0.0,0.0,5.153728407436553e-05,5.153728685114434e-05
0.5,7,0.0,0.0,1.4593497316306436e-05,1.459350038035545e-05
0.5,8,0.0,0.0,4.16943971609518e-06,4.169437317569358e-06
0.5,9,0.0,0.0,1.1999490798220158e-06,1.1999471591916944e-06
0.5,10,0.0,0.0,3.474484181476001e-07,3.4744823196319885e-07
0.5,11,0.0,0.0,1.0112567805364847e-07,1.0112675774553992e-07
0.5,12,0.0,0.0,2.9563361092499463e-08,2.9564728110109684e-08
0.5,13,0.0,0.0,8.675736351548835e-09,8.676892704340133e-09
0.5,14,0.0,0.0,2.5543488435531003e-09,2.555318789898564e-09
1.0,0,0.28793036462728605,0.287930364648001,0.19637779311854903,0.1963777931201835
1.0,1,0.03962377723709255,0.03962377724774959,0.03658534150941217,0.03658534150949211
1.0,2,0.0008437697697749611,0.0008437697690365951,0.006909336906363417,0.0069093369065627575
1.0,3,0.0,0.0,0.0015553257044395585,0.0015553257049316094
1.0,4,0.0,0.0,0.0003647754100647438,0.00036477541068979935
1.0,5,0.0,0.0,8.741456167377093e-05,8.741456106065026e-05
1.0,6,0.0,0.0,2.1258166100435183e-05,2.125816668030467e-05
1.0,7,0.0,0.0,5.2284912225863955e-06,5.228491867736995e-06
1.0,8,0.0,0.0,1.2977836360006378e-06,1.297782992237817e-06
1.0,9,0.0,0.0,3.245879097169002e-07,3.245875191959513e-07
1.0,10,0.0,0.0,8.170583626343486e-08,8.170597776135935e-08
1.0,11,0.0,0.0,2.0680506029879808e-08,2.0680704648778914e-08
1.0,12,0.0,0.0,5.2593189803218365e-09,5.25950805130293e-09
1.0,13,0.0,0.0,1.3430686562898586e-09,1.3430966894212304e-09
1.0,14,0.0,0.0,3.4427516393265023e-10,3.4430414075359295e-10
2.0,0,0.25256920479228573,0.252569204794428,0.15896504802146472,0.15896504802177447
2.0,1,0.030220431608303337,0.030220431608917016,0.026737404457339464,0.026737404457150338
2.0,2,0.0,0.0,0.004176184882185963,0.004176184882261402
2.0,3,0.0,0.0,0.0007659800274107953,0.0007659800274150141
2.0,4,0.0,0.0,0.00014549680896258632,0.00014549680903486184
2.0,5,0.0,0.0,2.8178797838784853e-05,2.8178797776112763e-05
2.0,6,0.0,0.0,5.535926921762524e-06,5.535926968502913e-06
2.0,7,0.0,0.0,1.1001103880081686e-06,1.1001104670005368e-06
2.0,8,0.0,0.0,2.2069715271966217e-07,2.206970681206677e-07
2.0,9,0.0,0.0,4.462811442618175e-08,4.462802782878583e-08
2.0,10,0.0,0.0,9.085446062151448e-09,9.085500130012747e-09
2.0,11,0.0,0.0,1.8602682172463858e-09,1.8603495410829396e-09
2.0,12,0.0,0.0,3.828474204325971e-10,3.8283026748686666e-10
2.0,13,0.0,0.0,7.909323196386708e-11,7.910477828332318e-11
2.0,14,0.0,0.0,1.636873969701469e-11,1.6418033599308046e-11
4.0,0,0.21060973127512939,0.21060973127786659,0.1177771249441415,0.11777712494475201
4.0,1,0.020653741017946703,0.020653741019344175,0.017039758325610888,0.017039758325093024
4.0,2,0.0,0.0,0.0020478924534278464,0.0020478924531299736
4.0,3,0.0,0.0,0.0002804625000180083,0.00028046250005298035
4.0,4,0.0,0.0,3.945705793584331e-05,3.945705812163913e-05
4.0,5,0.0,0.0,5.647397268548904e-06,5.647397020414058e-06
4.0,6,0.0,0.0,8.196682653172083e-07,8.196681710592735e-07
4.0,7,0.0,0.0,1.2036219187994135e-07,1.2036221008759895e-07
4.0,8,0.0,0.0,1.7847795186209936e-08,1.7847632483025677e-08
4.0,9,0.0,0.0,2.6684529030873705e-09,2.6683509291025587e-09
4.0,10,0.0,0.0,4.017265964328942e-10,4.017441379566833e-10
4.0,11,0.0,0.0,6.087191861681163e-11,6.086997572651853e-11
4.0,12,0.0,0.0,9.313494420126744e-12,9.265754830067863e-12
4.0,13,0.0,0.0,1.4801493364302587e-12,1.4077627952246985e-12
4.0,14,0.0,0.0,2.7172708527700706e-13,2.3842039453825237e-13
