n_max,chi,trunc_err,dE,dV_max,dS_max,dEN_1+1_d0,dEN_2+2_d0,dEN_2+2_d1,dMI_1+1_d3,dMI_1+1_d6
4,32,8.551680418262987e-16,0.00010520748287135007,0.00010036854967088171,8.172869073114208e-05,-0.0002756134059372639,-0.0006288380715000486,-2.9722883703321712e-05,-1.3985006283689927e-05,-8.691581667719106e-07
6,32,2.715069628568578e-15,4.115786644831587e-07,8.395171536834667e-07,4.754965819420143e-07,-5.925833644532252e-06,-1.869090929146333e-05,-2.2129169957585404e-07,-8.159072784064136e-08,-5.0884473856704915e-09
8,32,3.9629073024692135e-15,1.4682797200293862e-09,9.80727344978118e-09,2.1707312058971695e-09,-1.5231388605929652e-07,-5.808963925435506e-07,,-3.574010531970373e-10,-2.693228973171813e-11
