lam,d,MI_1+1,MI_1+1_2chi,MI_1+1_gaussian_proxy
0.0,0,0.16809698588914418,0.16809698589142613,0.16809698576030352
0.0,1,0.03432109709426168,0.03432109709893366,0.03432109707387421
0.0,2,0.009320484063811807,0.009320484050699185,0.009320484058773837
0.0,3,0.002753333099969113,0.002753333135338931,0.002753333097946342
0.0,4,0.0008515215790491637,0.0008515215424177991,0.0008515215777051832
0.0,5,0.0002711695898171551,0.0002711695930492364,0.0002711695887444021
0.0,6,8.816438644132507e-05,8.816439486086791e-05,8.81643854140357e-05
0.0,7,2.9117545702339598e-05,2.9117560727653924e-05,2.9117544610102186e-05
0.0,8,9.73604734877398e-06,9.736044949804068e-06,9.736046254538167e-06
0.25,0,0.15555024925278943,0.15555024925321745,0.155527501362362
0.25,1,0.029379623307170366,0.029379623308489033,0.02937449991829144
0.25,2,0.007307544197075022,0.007307544191936133,0.007306166032415795
0.25,3,0.0019687647804944586,0.001968764794933797,0.0019683750531822586
0.25,4,0.0005541669482741485,0.0005541669305788033,0.0005540543927791131
0.25,5,0.00016046233066696614,0.00016046233530109255,0.00016042921959874556
0.25,6,4.7415011279139385e-05,4.7415014825580304e-05,4.7405116106902234e-05
0.25,7,1.4229041896074435e-05,1.4229046496505582e-05,1.422604650008763e-05
0.25,8,4.322705287718165e-06,4.322703037240583e-06,4.3217889512114915e-06
0.5,0,0.14573302085280576,0.14573302085293446,0.14566067604764435
0.5,1,0.025820494810698646,0.025820494811163053,0.025804457857566798
0.5,2,0.005962855277373447,0.005962855275129908,0.005958917571412592
0.5,3,0.0014858758528522586,0.0014858758594930577,0.0014848519247556702
0.5,4,0.00038615856068052734,0.00038615855153334433,0.0003858856629698204
0.5,5,0.00010315358462897883,0.00010315358808532515,0.00010307946214460628
0.5,6,2.8109574510382096e-05,2.8109576032497863e-05,2.8089131616282348e-05
0.5,7,7.777964090127654e-06,7.777965633060102e-06,7.772255877558365e-06
0.5,8,2.1785066383617213e-06,2.1785052047307296e-06,2.1768964987844974e-06
1.0,0,0.1308382252407635,0.13083822524078917,0.13063615149333985
1.0,1,0.020923087621505798,0.020923087621581904,0.020879249916419262
1.0,2,0.0042713248907247925,0.004271324890172401,0.004261964810737151
1.0,3,0.0009345928698784589,0.0009345928716277263,0.0009324643530349563
1.0,4,0.00021264000945531158,0.00021264000659493298,0.00021214325921892208
1.0,5,4.966373059817064e-05,4.966373216586106e-05,4.954567837478496e-05
1.0,6,1.182588289189157e-05,1.1825883147742466e-05,1.179742156109942e-05
1.0,7,2.8585668900293904e-06,2.8585670551750653e-06,2.8516237552400625e-06
1.0,8,6.993253426901269e-07,6.993248386488737e-07,6.976148163584384e-07
2.0,0,0.1108924144679869,0.11089241446798853,0.11040970518057508
2.0,1,0.015280139764241474,0.015280139764245582,0.01517809521030905
2.0,2,0.0025799134756139264,0.002579913475549367,0.002562105373960011
2.0,3,0.00046177920214662826,0.00046177920232476355,0.000458471155215856
2.0,4,8.555434066537249e-05,8.555434030221853e-05,8.492563616718796e-05
2.0,5,1.6240598792183203e-05,1.624059910648734e-05,1.6119190881680456e-05
2.0,6,3.140512881527613e-06,3.1405128495531898e-06,3.1167540853194176e-06
2.0,7,6.1622538827244e-07,6.162253570196619e-07,6.115229458925064e-07
2.0,8,1.223467593902683e-07,1.2234669383159869e-07,1.2140700839102792e-07
4.0,0,0.08753880850812021,0.08753880850812033,0.08656414789132552
4.0,1,0.00992901886883693,0.009929018868841732,0.009729144875827822
4.0,2,0.0012776930001104359,0.0012776930000467646,0.0012513145269295312
4.0,3,0.00017145791911979402,0.00017145791938805166,0.00016778767628558566
4.0,4,2.3665966706609698e-05,2.3665966266739336e-05,2.31471039923159e-05
4.0,5,3.338688430803982e-06,3.338688726678418e-06,3.2643510065599735e-06
4.0,6,4.792846500789594e-07,4.792846267920314e-07,4.6850068458059724e-07
4.0,7,6.97758379408775e-08,6.977581298861502e-08,6.819401643376466e-08
4.0,8,1.027506726924976e-08,1.0275036349538524e-08,1.004081168209936e-08
