lam,L,n_max,chi,dt,order,tau0,half_width,shape,s_star,E_var,E_var_2chi,E_var_half_dt,rel_change_2chi,rel_change_half_dt,trunc_err,trunc_err_2chi,E_var_hartree_shape,E_var_bare_shape,E_free_exact,E_free_family,E_hartree_exact,mu_H2,bound_2d_flanagan,ratio_var_over_free_exact,ratio_var_over_hartree_exact,ratio_var_over_free_family,ratio_hartree_over_free_exact,ratio_var_over_bound2d,margin_vs_free_exact,dmrg_trunc_err,time_s
0.0,16,8,16,0.2,4,0.75,2,hartree,0.9951049048300721,-0.01636583519891725,-0.016365786154944585,-0.01636578194964571,2.996728982552982e-06,3.2536849414376503e-06,0.0008756266557818169,3.994267108467872e-06,-0.01636583519891725,-0.01636583519891725,-0.02265365013409959,-0.01638151276811722,-0.02265365013409959,0.25,-0.06268773150530625,0.7224370069299536,0.7224370069299536,0.9990429718291657,1.0,0.26106918859445327,0.0062878149351823405,3.996474224162989e-11,177.23587894439697
0.25,16,8,16,0.2,4,0.75,2,hartree,0.9853117278689637,-0.01478711987123715,-0.014787089607789055,nan,2.0466086944777283e-06,nan,0.0005687691096816388,2.5051316813769678e-06,-0.01478711987123715,-0.01478711987123715,-0.02265365013409959,-0.01638151276811722,-0.02040542049335503,0.3026481804947232,-0.06268773150530625,0.6527477816468401,0.7246662658117011,0.9026712050682412,0.9007564066966677,0.2358853880361819,0.00786653026286244,1.2195031977737001e-11,123.61853694915771
0.5,16,8,16,0.2,4,0.75,2,hartree,0.9778598996066925,-0.013472365051741441,-0.013472343341994812,nan,1.6114280265937622e-06,nan,0.0004698246715246279,1.7113340227774255e-06,-0.013472365051741441,-0.013472365051741441,-0.02265365013409959,-0.01638151276811722,-0.018578194472199883,0.3521566750652396,-0.06268773150530625,0.5947105641691736,0.7251708486473901,0.8224127553080596,0.8200971747257148,0.2149123078508761,0.009181285082358149,4.846557726024761e-12,118.1757960319519
1.0,16,8,16,0.2,4,0.75,2,hartree,0.9667730544428099,-0.011377469504060484,-0.011377454858234689,-0.011377428614594499,1.2872656604320392e-06,3.5938980957417556e-06,0.0003610385760862909,9.65911018674942e-07,-0.011377469504060484,-0.01130138904598238,-0.02265365013409959,-0.01638151276811722,-0.015730674218318197,0.44461335298997007,-0.06268773150530625,0.5022355972088779,0.7232664885279708,0.6945310646892188,0.6943990979466692,0.18149435672428868,0.011276180630039106,1.2356611699269882e-12,211.23436498641968
2.0,16,8,16,0.2,4,0.75,2,hartree,0.9511579056173103,-0.008477644980870076,-0.008477636791084873,nan,9.660448415706108e-07,nan,0.0002002259355082013,4.506183739453805e-07,-0.008477644980870076,-0.008314793394443538,-0.02265365013409959,-0.01638151276811722,-0.01187275927628817,0.6124520305136425,-0.06268773150530625,0.37422865324952787,0.7140416800836947,0.5175129489487581,0.5240991719218177,0.13523611043657688,0.014176005153229514,1.649037225144987e-13,173.06949019432068
4.0,16,8,16,0.2,4,0.75,2,hartree,0.9290880106751208,-0.005181922831621234,-0.0051819197172114605,-0.005181863444531884,6.010143096830254e-07,1.1460434915767885e-05,6.533190789792478e-05,1.7446143782205385e-07,-0.005181922831621234,-0.00492799696247321,-0.02265365013409959,-0.01638151276811722,-0.0075215105970971585,0.9087036615929707,-0.06268773150530625,0.22874560174393718,0.6889470891154681,0.31632749093274426,0.33202201643325213,0.08266247170202046,0.017471727302478354,1.2321851078894733e-14,203.10730409622192
