n_max,chi_op,weight_decay,lam,tag,threads,E_min,E_hartree_exact,E_free_exact,ratio_exact_over_hartree_exact,ratio_exact_over_free_exact,E_keff_over_E_hartree,ratio_exact_over_keff,control_lam0,band_lam0,residual,residual_ctrl_normalized,residual_keff_ctrl_normalized,refcons_over_E_min,refcons_ok,anchor_max_abs_rel_dev_vs_ed,anchor_n_points,anchor_ok,same_spec_n_runs,same_spec_spread_E_min,same_spec_spread_in_residual,trunc_op_weighted,norm_ratio,mpo_variance,chi_mpo,dmrg_chi,time_s
8,32,0.5,0.0,plane2_nmax8_chiop32_w0.5_lam0,2,-0.022652089579973556,-0.02265365013409959,-0.02265365013409959,0.9999311124645787,0.9999311124645787,,,0.9999311124645787,6.888753542133585e-05,6.888753542133585e-05,0.0,,0.014043695223038602,True,0.013798157801797762,7,True,2,4.512103070908324e-05,0.001991914721588167,0.0015809399234114787,0.9140583698443807,5.142574274197287e-07,128,16,1353.4115607738495
8,32,0.5,2.0,plane2_nmax8_chiop32_w0.5_lam2,2,-0.011347772988336446,-0.01187275927628817,-0.02265365013409959,0.9557822848307718,0.5009247040173503,1.0210388039135745,0.9360881106254936,0.9999311124645787,6.888753542133585e-05,0.04421771516922823,0.04415186914725666,0.06384740012912304,0.2029883883890884,False,0.02330351842109992,3,False,2,0.00023046757701006282,0.01941279605554776,0.0011277442094185463,0.8805871793933112,4.3391088155875224e-07,128,16,1512.7329609394073
8,32,0.5,4.0,plane2_nmax8_chiop32_w0.5_lam4,2,-0.006653794896693599,-0.0075215105970971585,-0.02265365013409959,0.8846354479991766,0.29371844525302,1.045182470073791,0.8463933077032189,0.9999311124645787,6.888753542133585e-05,0.1153645520008234,0.11530360744674428,0.15354838233098655,0.05270893485502202,False,0.39424546741441363,7,False,2,9.455961222482046e-06,0.00125727572183062,0.0019169589406048684,0.8580586147583773,2.931017673013514e-07,128,16,1509.0339291095734
8,32,1.0,0.0,plane2_nmax8_chiop32_w1_lam0,2,-0.02451320578887095,-0.02265365013409959,-0.02265365013409959,1.0820863588765437,1.0820863588765437,,,1.0820863588765437,0.0820863588765437,-0.0820863588765437,0.0,,0.18521210466181445,False,0.05029471771857331,3,False,2,7.032636815118565e-06,0.000286891762574416,0.07866815784251943,0.9617893692594576,2.170519207145283e-06,128,16,1548.9580450057983
8,32,1.0,2.0,plane2_nmax8_chiop32_w1_lam2,2,-0.013078182880103428,-0.01187275927628817,-0.02265365013409959,1.1015285137821909,0.5773101819215168,1.0210388039135745,1.0788311957979506,1.0820863588765437,0.0820863588765437,-0.10152851378219085,-0.017967285832743096,0.0030082285502357475,1.9890827480690947,False,0.18214065906271934,3,False,1,,,0.15320906176938984,0.9272880652954051,9.707342127907026e-07,128,16,1155.5469498634338
8,32,1.0,4.0,plane2_nmax8_chiop32_w1_lam4,2,-0.010934557025711111,-0.0075215105970971585,-0.02265365013409959,1.4537714046339547,0.48268411319956694,1.045182470073791,1.39092593519227,1.0820863588765437,0.0820863588765437,-0.4537714046339547,-0.3434892628563455,-0.2854112093570549,2.5728792918907546,False,0.26424333785866316,3,False,1,,,0.19500626146083394,0.9084572027292597,5.34010601183077e-06,128,16,1692.4009990692139
8,64,0.5,0.0,plane2_nmax8_chiop64_w0.5_lam0,2,-0.022636831998246842,-0.02265365013409959,-0.02265365013409959,0.9992575970868628,0.9992575970868628,,,0.9992575970868628,0.0007424029131372079,0.0007424029131372079,0.0,,0.008651718666765663,True,0.01268003914462411,4,True,1,,,0.0014829478037496908,0.9151633979306866,1.3405786081222004e-06,216,16,2298.0485949516296
8,64,0.5,2.0,plane2_nmax8_chiop64_w0.5_lam2,2,-0.011482240958593404,-0.01187275927628817,-0.02265365013409959,0.9671080404641326,0.5068605231661836,1.0210388039135745,0.9471804957434243,0.9992575970868628,0.0007424029131372079,0.03289195953586743,0.032173442280004516,0.0521157922594323,0.10958775163991467,False,0.015514328088979068,3,True,1,,,0.0012240106751636383,0.8803692204408311,6.365788974838082e-07,256,16,3410.1603088378906
8,64,0.5,4.0,plane2_nmax8_chiop64_w0.5_lam4,2,-0.0063786924734494654,-0.0075215105970971585,-0.02265365013409959,0.8480600261217806,0.28157459992939005,1.045182470073791,0.8113990144342036,0.9992575970868628,0.0007424029131372079,0.15193997387821945,0.15130990387850818,0.18799815302913248,0.07244080124315293,False,0.3448863999185752,5,False,1,,,0.0019430651566913156,0.8596524186678508,5.272024259372898e-07,256,16,3505.3367879390717
8,64,1.0,0.0,plane2_nmax8_chiop64_w1_lam0,2,-0.02304244252218879,-0.02265365013409959,-0.02265365013409959,1.0171624610509882,1.0171624610509882,,,1.0171624610509882,0.017162461050988176,-0.017162461050988176,0.0,,0.08469665213589844,False,0.002722759840421597,3,True,1,,,0.0646014977880426,0.968570428859837,8.858216183904588e-07,256,16,4442.120671033859
8,64,1.0,2.0,plane2_nmax8_chiop64_w1_lam2,2,-0.012195538237004366,-0.01187275927628817,-0.02265365013409959,1.0271865160578837,0.5383476024751938,1.0210388039135745,1.0060210367331246,1.0171624610509882,0.017162461050988176,-0.027186516057883692,-0.00985492032073032,0.010953436392404425,0.15913976462580995,False,0.021384171291304554,3,False,1,,,0.138863940860661,0.9339979523031975,1.4128300508398084e-06,256,16,4840.325217008591
8,64,1.0,4.0,plane2_nmax8_chiop64_w1_lam4,2,-0.0077830531522122826,-0.0075215105970971585,-0.02265365013409959,1.0347726100679913,0.34356728854467383,1.045182470073791,0.9900401505920159,1.0171624610509882,0.017162461050988176,-0.03477261006799126,-0.0173130150701859,0.026664678945139242,1.138353184444048,False,0.016715069210005765,4,True,1,,,0.18343374267335766,0.9140456818001363,1.2476926531501675e-05,256,16,5376.5034329891205
10,32,0.5,0.0,plane2_nmax10_chiop32_w0.5_lam0,2,-0.022935047271245734,-0.02265365013409959,-0.02265365013409959,1.012421712857769,1.012421712857769,,,1.012421712857769,0.012421712857769052,-0.012421712857769052,0.0,,0.029677593707198763,True,0.013798157801797762,7,True,1,,,0.0008255211195366839,0.9010343587224083,4.301484576307857e-07,128,16,1940.1244087219238
10,32,0.5,2.0,plane2_nmax10_chiop32_w0.5_lam2,2,-0.012147128751772818,-0.01187275927628817,-0.02265365013409959,1.0231091584609662,0.53621066273502,1.0210388039135745,1.0020276942849342,1.012421712857769,0.012421712857769052,-0.023109158460966173,-0.010556318051525793,0.01026649116749534,0.2631457547772709,False,0.02330351842109992,3,False,1,,,0.0004986455062118458,0.8529825934543827,7.663395560353337e-07,128,16,1739.7911059856415
10,32,0.5,4.0,plane2_nmax10_chiop32_w0.5_lam4,2,-0.006792320133510499,-0.0075215105970971585,-0.02265365013409959,0.9030526575515186,0.2998333643056623,1.045182470073791,0.8640143548214716,1.012421712857769,0.012421712857769052,0.09694734244848136,0.10802717278507756,0.14658650259227168,0.27699186456083014,False,0.39424546741441363,7,False,1,,,0.0009874616479543454,0.8225768632110508,2.443542285179845e-06,128,16,2378.491709947586
10,32,1.0,0.0,plane2_nmax10_chiop32_w1_lam0,2,-0.026174267512852567,-0.02265365013409959,-0.02265365013409959,1.1554106008485379,1.1554106008485379,,,1.1554106008485379,0.15541060084853786,-0.15541060084853786,0.0,,0.7647214657654623,False,0.05029471771857331,3,False,1,,,0.08316336980692364,0.9596259649433654,5.624193030961955e-06,128,16,2039.463768005371
10,32,1.0,2.0,plane2_nmax10_chiop32_w1_lam2,2,-0.016757033794912113,-0.01187275927628817,-0.02265365013409959,1.4113849531488971,0.7397056852082505,1.0210388039135745,1.382302952384524,1.1554106008485379,0.15541060084853786,-0.4113849531488971,-0.22154405724888693,-0.19637378380409154,3.7019471751341095,False,0.18214065906271934,3,False,1,,,0.1804958397060792,0.9148994242256809,2.009308647465957e-06,128,16,1954.259784936905
10,32,1.0,4.0,plane2_nmax10_chiop32_w1_lam4,2,-0.011362415475387522,-0.0075215105970971585,-0.02265365013409959,1.510656048237533,0.501571067272914,1.045182470073791,1.4453514974575483,1.1554106008485379,0.15541060084853786,-0.5106560482375331,-0.30746251343730235,-0.2509418698392387,1.09627456344062,False,0.26424333785866316,3,False,1,,,0.23906417289616053,0.8890154486224093,6.134248601075143e-06,128,16,2244.504835128784
10,64,0.5,0.0,plane2_nmax10_chiop64_w0.5_lam0,2,-0.022864163357022016,-0.02265365013409959,-0.02265365013409959,1.0092926844758474,1.0092926844758474,,,1.0092926844758474,0.009292684475847413,-0.009292684475847413,0.0,,0.017324429561028195,True,0.01268003914462411,4,True,1,,,0.0008294321542563905,0.902467291384047,1.467606975724678e-06,233,16,3283.783779859543
10,64,0.5,2.0,plane2_nmax10_chiop64_w0.5_lam2,2,-0.012174612774516591,-0.01187275927628817,-0.02265365013409959,1.0254240392821972,0.537423889856525,1.0210388039135745,1.0042948763081425,1.0092926844758474,0.009292684475847413,-0.025424039282197164,-0.015982831397145514,0.004951792720364723,0.26917049698369955,False,0.015514328088979068,3,True,1,,,0.0005444239351096181,0.8531381023561855,7.788726641422272e-07,256,16,4130.314610004425
10,64,0.5,4.0,plane2_nmax10_chiop64_w0.5_lam4,2,-0.006387319987361417,-0.0075215105970971585,-0.02265365013409959,0.8492070714925977,0.28195544424634916,1.045182470073791,0.8124964738766071,1.0092926844758474,0.009292684475847413,0.15079292850740234,0.15861168464367348,0.19498428317791872,0.4240499637634894,False,0.3448863999185752,5,False,1,,,0.0008720164397239892,0.824435293081229,1.7542872243758723e-06,256,16,4262.257250785828
10,64,1.0,0.0,plane2_nmax10_chiop64_w1_lam0,2,-0.022837439467303433,-0.02265365013409959,-0.02265365013409959,1.0081130119038606,1.0081130119038606,,,1.0081130119038606,0.0081130119038606,-0.0081130119038606,0.0,,0.2760017172354884,False,0.002722759840421597,3,True,1,,,0.07051349930461555,0.9657712190542543,2.4870897848972007e-06,256,16,6126.2886300086975
10,64,1.0,2.0,plane2_nmax10_chiop64_w1_lam2,2,-0.011730375342061228,-0.01187275927628817,-0.02265365013409959,0.9880075110668414,0.5178139184026678,1.0210388039135745,0.967649326626837,1.0081130119038606,0.0081130119038606,0.01199248893315863,0.01994369738274604,0.040138044841427356,0.4710432173864094,False,0.021384171291304554,3,False,1,,,0.17060388747265934,0.9196856069194236,1.7980186637345241e-06,256,16,6457.775099277496
10,64,1.0,4.0,plane2_nmax10_chiop64_w1_lam4,2,-0.011255047937460905,-0.0075215105970971585,-0.02265365013409959,1.4963813175779692,0.496831542415284,1.045182470073791,1.4316938529138583,1.0081130119038606,0.0081130119038606,-0.4963813175779692,-0.4843388587475872,-0.42017198072867723,0.4829797049469278,False,0.016715069210005765,4,True,1,,,0.22952647803394935,0.8938744230000852,1.6157101140334973e-05,256,16,7874.959889888763
12,32,0.5,0.0,plane2_nmax12_chiop32_w0.5_lam0,2,-0.022581880520946673,-0.02265365013409959,-0.02265365013409959,0.9968318742132913,0.9968318742132913,,,0.9968318742132913,0.0031681257867086643,0.0031681257867086643,0.0,,0.03578603837985989,True,0.013798157801797762,7,True,1,,,0.0005227564454012236,0.8954853643516784,1.033830404617575e-06,128,16,2462.3164501190186
12,32,0.5,2.0,plane2_nmax12_chiop32_w0.5_lam2,2,-0.012254798083902507,-0.01187275927628817,-0.02265365013409959,1.0321777607651266,0.5409635096931189,1.0210388039135745,1.010909435379789,0.9968318742132913,0.0031681257867086643,-0.03217776076512657,-0.03545822266139975,-0.01412230239688883,0.17583229441816417,False,0.02330351842109992,3,False,1,,,0.0002686683612740771,0.8293178413065384,3.973962841019585e-07,128,16,1388.9615857601166
12,32,0.5,4.0,plane2_nmax12_chiop32_w0.5_lam4,2,-0.006635192304522031,-0.0075215105970971585,-0.02265365013409959,0.882162195860338,0.2928972710907349,1.045182470073791,0.8440269724367424,0.9968318742132913,0.0031681257867086643,0.11783780413966205,0.11503412091778442,0.15329054550662713,0.1529316713641013,False,0.39424546741441363,7,False,1,,,0.0006024509594377327,0.7613676843516838,2.734247512847787e-07,128,16,3330.7469477653503
12,32,1.0,0.0,plane2_nmax12_chiop32_w1_lam0,2,-0.027154383098287882,-0.02265365013409959,-0.02265365013409959,1.1986758397673638,1.1986758397673638,,,1.1986758397673638,0.1986758397673638,-0.1986758397673638,0.0,,1.0354675266858235,False,0.05029471771857331,3,False,1,,,0.08620355449289901,0.9581614328285142,7.95356067473385e-06,128,16,2768.4603028297424
