lam,nu_min,nu_max,S_gaussian_of_V,xi_MI_free_at_hartree_mass_same_fit,xi_MI_interacting,xi_MI_ratio_to_free_hartree,proxyEN_death_free_at_hartree_mass,xi_proxyEN_free_at_hartree_mass,proxyEN_death_interacting_proxy
0.0,0.5000000000161889,0.5000000001329423,3.147641557972479e-08,0.8761313609266157,0.8761313393558045,0.9999999753794783,-1,0.8662040599392444,-1
0.25,0.5000043175022748,0.5000580135043093,0.00634765036830688,0.8082617978136293,0.808859939214634,1.0007400342347277,-1,0.7926985096843736,6
0.5,0.5000153118763839,0.5001652014577214,0.017825609042294355,0.7578777874377286,0.7594443019082153,1.0020669750406366,-1,0.7387952474389745,5
1.0,0.5000497473010832,0.5003968377413592,0.044020392374576084,0.686004368359209,0.6893012374720263,1.0048059010479815,14,0.6666996627700715,3
2.0,0.5001424579013279,0.5007960464525945,0.09437972043563254,0.5978038311649508,0.6032864590133685,1.0091712825555728,12,0.5919645598409967,2
4.0,0.5003469698780164,0.5013576942798027,0.17606289023038554,0.504501340137794,0.5118301458388069,1.0145268309872302,11,0.4996831029963513,2
