E_min,E_star,E_ref,E_ref_static,ref_consistency,E_free_exact,E_hartree_exact,mu_H2,bound_2d_flanagan,ratio_exact_over_free_exact,ratio_exact_over_hartree_exact,ratio_exact_over_bound2d,n_max,L,m,lam,tau0,dt,order,n_steps,chi_op_allowed,chi_op,chi_acc,chi_mpo,weight_decay,window_pad,trunc_op_weighted,trunc_acc,trunc_real,norm_ratio,h_ref_drift,dmrg_sweeps,dmrg_delta_E,dmrg_chi,dmrg_trunc,dmrg_real,mpo_variance,time_operator_s,time_dmrg_s,route,E_vac,gs_chi,svd_dense_limit,time_gs_s,time_s,tag,axis,section,threads,residual,residual_ctrl_normalized,band
-0.02269721061068264,0.9094262416267512,0.9321234522374339,0.9324108422115732,0.0002873899741393515,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.001922889968071,1.001922889968071,0.3620678251654619,8,16,0.5,0.0,0.75,0.375,4,8,32,32,64,128,0.5,2,0.0015216654198235678,1.7091428514001e-09,3.332840839750281e-09,0.9125793332040432,0.005571642296649748,9,8.049116928532385e-14,16,9.689692533770305e-08,True,5.651207322099339e-07,322.45607900619507,2611.5071008205414,mpo,11.283713766245164,16,600.0,12.292673110961914,2972.858537912369,sweep_lam0,sweep,S5h,4,-0.0019228899680709954,0.0,0.0019228899680709954
-0.02016668695301549,0.9193558298023436,0.9395225167553591,0.940029867316137,0.0005073505607778861,-0.02265365013409959,-0.02040542049335503,0.3026481804947232,-0.06268773150530625,0.8902179928460809,0.9883004841572716,0.321700697548905,8,16,0.5,0.25,0.75,0.375,4,8,32,32,64,128,0.5,2,0.001224607521197806,1.7229169001063547e-09,4.376780671960228e-09,0.9101636013894872,0.015588205445300596,9,1.4155343563970746e-13,16,5.4835156855424845e-08,True,9.7862420456174e-07,321.4705832004547,2662.0230190753937,mpo,11.371158415691546,16,600.0,12.113800764083862,3021.610223054886,sweep_lam0.25,sweep,S5h,4,0.011699515842728436,0.013596261695581702,0.0019228899680709954
-0.018339336071263146,0.928386207427838,0.9467255434991011,0.9471200492147045,0.0003945057156033993,-0.02265365013409959,-0.018578194472199883,0.3521566750652396,-0.06268773150530625,0.8095532491542152,0.9871430778004741,0.2925506415830472,8,16,0.5,0.5,0.75,0.375,4,8,32,32,64,128,0.5,2,0.0009193114661458979,1.889242509672982e-09,4.434522013071596e-09,0.9079052890549971,0.009204045024351015,9,2.664554799025609e-09,16,1.4578414661754875e-07,True,7.728879958257551e-07,318.925076007843,2759.571934938431,mpo,11.453103584262022,16,600.0,11.456524133682251,3114.538945198059,sweep_lam0.5,sweep,S5h,4,0.012856922199525944,0.014751446758610287,0.0019228899680709954
-0.01535769695992717,0.945582345135316,0.9609400420952432,0.9601510454309321,0.0007889966643110924,-0.02265365013409959,-0.015730674218318197,0.44461335298997007,-0.06268773150530625,0.6779347641115845,0.9762898110268726,0.24498728205896564,8,16,0.5,1.0,0.75,0.375,4,8,32,32,64,128,0.5,2,0.0008886385080605151,2.1730119830179187e-09,6.804027078025354e-09,0.8976011363583932,0.01091118726221596,9,4.700684286262913e-13,16,7.911830674684611e-08,True,5.273878596057102e-07,319.7709310054779,2771.489839076996,mpo,11.604713521009852,16,600.0,10.21478009223938,3126.750643968582,sweep_lam1,sweep,S5h,4,0.023710188973127377,0.025583883947411623,0.0019228899680709954
-0.01157824056534651,0.9730640497277809,0.9846422902931274,0.9831139412872382,0.0015283490058892735,-0.02265365013409959,-0.01187275927628817,0.6124520305136425,-0.06268773150530625,0.5110982334770974,0.9751937435866436,0.1846970736908299,8,16,0.5,2.0,0.75,0.375,4,8,32,32,64,128,0.5,2,0.0011794317305204114,2.785866172096238e-09,1.3788243404413198e-08,0.8800822867824948,0.012438877602044762,9,1.0436096431476471e-14,16,7.876671027747688e-08,True,5.267279296061744e-07,321.50258708000183,2826.84560918808,mpo,11.873973796629782,16,600.0,8.857629776000977,3182.5943508148193,sweep_lam2,sweep,S5h,4,0.02480625641335643,0.026677847815493316,0.0019228899680709954
-0.008386593059953151,0.9975455753467981,1.0059321684067513,1.003351412080759,0.002580756325992306,-0.02265365013409959,-0.009330783363987294,0.7656018471078223,-0.06268773150530625,0.37020934861747357,0.8988091066739047,0.13378364248582295,8,16,0.5,3.0,0.75,0.375,4,8,32,32,64,128,0.5,2,0.0015045591328046374,3.11353326983143e-09,2.578554715577562e-08,0.86359185269569,0.04252667823133116,9,9.101608355877033e-13,16,4.773021001858027e-07,True,4.4720783021201527e-07,321.935831785202,2907.8313071727753,mpo,12.112718311001888,16,600.0,8.473020076751709,3261.113422870636,sweep_lam3,sweep,S5h,4,0.10119089332609532,0.10291588736679358,0.0019228899680709954
-0.006644338935471117,1.0152355495046936,1.0218798884401648,1.0217138140238817,0.0001660744162830241,-0.02265365013409959,-0.0075215105970971585,0.9087036615929707,-0.06268773150530625,0.2933010307892798,0.8833782588879717,0.10599105719607514,8,16,0.5,4.0,0.75,0.375,4,8,32,32,64,128,0.5,2,0.002006874586938175,3.684046185707024e-09,2.4551080015746407e-08,0.8592719499074618,0.042164055179014226,9,8.180123245438153e-13,16,7.592162590163148e-07,True,3.6814166937126913e-07,323.20032572746277,2861.0811212062836,mpo,12.330136252387955,16,600.0,8.177044153213501,3218.694051027298,sweep_lam4,sweep,S5h,4,0.11662174111202828,0.11831712027646857,0.0019228899680709954
