E_min,E_star,E_ref,E_ref_static,ref_consistency,E_free_exact,E_hartree_exact,mu_H2,bound_2d_flanagan,ratio_exact_over_free_exact,ratio_exact_over_hartree_exact,ratio_exact_over_bound2d,n_max,L,m,lam,tau0,dt,order,n_steps,chi_op_allowed,chi_op,chi_acc,chi_mpo,weight_decay,window_pad,trunc_op_weighted,trunc_acc,trunc_real,norm_ratio,h_ref_drift,dmrg_sweeps,dmrg_delta_E,dmrg_chi,dmrg_trunc,dmrg_real,mpo_variance,time_operator_s,time_dmrg_s,route,E_vac,gs_chi,svd_dense_limit,time_gs_s,time_s,tag,axis,section,threads,dev_vs_gaussian,rel_dev_vs_gaussian,shift_vs_base,rel_shift_vs_base
-0.022942234970825703,0.9096846933825652,0.9326269283533909,0.9324108607458829,0.00021606760750803033,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.0127389994556206,1.0127389994556206,0.36597647450177295,6,16,0.5,0.0,0.75,0.375,4,8,16,16,32,64,0.25,2,0.00018776486294342593,6.533323226547717e-07,1.1190612243008835e-08,0.9129523097474587,0.006287493439234404,9,1.3578027591165664e-13,12,2.6389988099185596e-07,True,1.3986598049742227e-06,67.71825981140137,326.94341492652893,mpo,11.283713962118508,16,600.0,8.274266958236694,405.13010907173157,lam0_base,base,S5g,2,-0.00028858483672611346,-0.012738999455620566,0.0,0.0
-0.006565878279922499,1.0162797684930054,1.0228456467729279,1.0217569753173,0.0010886714556279653,-0.02265365013409959,-0.0075215105970971585,0.9087036615929707,-0.06268773150530625,0.2898375423410975,0.8729467565274088,0.10473944617642968,6,16,0.5,4.0,0.75,0.375,4,8,16,16,32,64,0.25,2,0.00012469946310242588,4.388125890809459e-06,2.7234825942236922e-08,0.846477723084281,0.0035295031909219343,9,7.363887277733738e-12,12,6.464590912525012e-08,True,1.0914304664488839e-06,64.97058296203613,338.6712236404419,mpo,12.330630748310826,16,600.0,6.1934850215911865,412.13405108451843,lam4_base,base,S5g,2,,,0.0,0.0
-0.022853273375306626,0.9098503769686003,0.9327036503439069,0.9324108431993723,0.00029280714453461254,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.0088119680504182,1.0088119680504182,0.3645573515987286,7,16,0.5,0.0,0.75,0.375,4,8,16,16,32,64,0.25,2,0.00013161761810613707,9.049852634508853e-07,2.3375245442123367e-08,0.9061219920819269,0.0034558933266208847,9,5.9159777077155695e-08,12,1.0014837343586159e-07,True,1.8649349982080565e-06,67.52817487716675,376.34851598739624,mpo,11.283713777578527,16,600.0,5.388312101364136,452.4990270137787,lam0_fock_nmax7,fock,S5g,2,-0.00019962324120703645,-0.00881196805041815,8.896159551907701e-05,0.0038776342249220385
-0.022851307633788842,0.9095957280922929,0.9324470357260818,0.9324108422115732,3.619351450856456e-05,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.0087251943293556,1.0087251943293556,0.36452599392362084,8,16,0.5,0.0,0.75,0.375,4,8,16,16,32,64,0.25,2,8.69442150636103e-05,1.1630374980374264e-06,2.7275197716650113e-08,0.9005750862006328,0.007015972255473679,9,2.098321516541546e-14,12,9.367753835425033e-08,True,1.3171063376615777e-06,95.69529008865356,325.07457208633423,mpo,11.283713766245164,16,600.0,5.983800172805786,428.4000241756439,lam0_fock_nmax8,fock,S5g,2,-0.00019765749968925217,-0.008725194329355632,9.092733703686129e-05,0.003963316440289634
-0.02294036872715821,0.909584548789403,0.9325249175165612,0.9324108420678934,0.00011407544866781638,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.0126566178678216,1.0126566178678216,0.3659467040247964,9,16,0.5,0.0,0.75,0.375,4,8,16,16,32,64,0.25,2,6.401332507121566e-05,1.3251535436934527e-06,2.56612170104922e-08,0.8966528045776659,0.007471212854572196,8,8.881784197001252e-16,12,2.2481137584429563e-07,True,1.2799663343665557e-06,146.61401510238647,359.6497039794922,mpo,11.283713764915214,16,600.0,7.559922933578491,515.7834379673004,lam0_fock_nmax9,fock,S5g,2,-0.00028671859305862135,-0.01265661786782148,1.8662436674921068e-06,8.134532968846755e-05
-0.022994036184881383,0.910302998122452,0.9332970343073334,0.9324108420917667,0.000886192215566628,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.0150256602696193,1.0150256602696193,0.3668028118537841,10,16,0.5,0.0,0.75,0.375,4,8,16,16,32,64,0.25,2,5.281563730550396e-05,1.5336355407109946e-06,2.613147824673672e-08,0.8937312612034942,0.009584368265197929,7,2.031153023551724e-12,12,3.4719742848620827e-07,True,1.3698176086762714e-06,365.41724586486816,518.0920569896698,mpo,11.283713764876866,16,600.0,18.08845806121826,904.3820562362671,lam0_fock_nmax10,fock,S5g,4,-0.0003403860507817935,-0.015025660269619184,-5.1801214055680056e-05,-0.0022578974594913105
-0.02300201202310248,0.9110589463722738,0.9340609583953763,0.9324108420723934,0.001650116322982842,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.015377737668797,1.015377737668797,0.36693004310030675,11,16,0.5,0.0,0.75,0.375,4,8,16,16,32,64,0.25,2,4.661495420324868e-05,1.6488863974854628e-06,4.642645960983908e-08,0.8910913889678311,0.007419676052878077,9,6.794564910705958e-14,12,9.615032465253378e-07,True,1.3583469360423095e-06,660.0511720180511,1263.5854489803314,mpo,11.283713764874676,16,600.0,20.210713148117065,1949.711941242218,lam0_fock_nmax11,fock,S5g,4,-0.00034836188900289056,-0.01537773766879696,-5.97770522767771e-05,-0.002605546162036614
-0.02294424007724638,0.9107505382414289,0.9336947783186753,0.9324108420801828,0.0012839362384925446,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.0128275108614562,1.0128275108614562,0.36600846012914423,12,16,0.5,0.0,0.75,0.375,4,8,16,16,32,64,0.25,2,3.862341843564353e-05,1.6198533294693072e-06,9.817580939583798e-08,0.8910148942346209,0.008591289585001771,9,1.59539048638635e-13,12,4.661106180064898e-07,True,1.1929818569678119e-06,938.8857851028442,1529.4775660037994,mpo,11.283713764874546,16,600.0,24.78423571586609,2498.974758863449,lam0_fock_nmax12,fock,S5g,4,-0.00029058994314679065,-0.012827510861456176,-2.005106420677194e-06,-8.739804222330433e-05
-0.022800211601990195,0.909446868810383,0.9322470804123731,0.9324108607458829,0.0001637803335097221,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.0064696623733052,1.0064696623733052,0.3637109056986733,6,16,0.5,0.0,0.75,0.375,4,8,16,16,32,64,0.5,2,0.003606410656520384,8.618128637475539e-07,3.6489539261641276e-09,0.9293186741608708,0.022878744753509817,9,2.7755575615628914e-15,12,1.3415400604702393e-07,True,1.966701454247932e-06,64.57464814186096,363.485023021698,mpo,11.283713962118508,16,600.0,7.855108022689819,438.4338638782501,lam0_chiop16_wd0.5,mpo,S5g,2,-0.00014656146789060465,-0.00646966237330521,0.0001420233688355088,0.006190476604224114
-0.023379968969336584,0.9268200665807592,0.9502000355500958,0.9324108607458829,0.017789174804212937,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.0320618898472214,1.0320618898472214,0.37295924430376887,6,16,0.5,0.0,0.75,0.375,4,8,16,16,32,64,1.0,2,0.08562560126156406,7.068146231912122e-07,8.139640609162358e-12,0.9583940492318688,0.37446616273086253,9,3.3306690738754696e-16,12,2.0453132601466165e-07,True,3.3399880908779878e-06,68.75066590309143,344.5108370780945,mpo,11.283713962118508,16,600.0,8.722833156585693,423.8416531085968,lam0_chiop16_wd1,mpo,S5g,2,-0.0007263188352369943,-0.03206188984722144,-0.0004377339985108808,-0.01907983241682955
