lam,L,n_max,chi,chi2,trunc_err,trunc_err_2chi,sweeps,E0,E0_2chi,E_PT2,E0_minus_PT2,E0_minus_PT1,mu_H2,lam_over_mu_H2,lam_over_mu_H2_over_critical,phi2_center,pi2_center,S_half,EN_1+1_d0,EN_2+2_d0,EN_2+2_d1,EN_2+2_d2,EN_2+2_nmax,MI_2+2_d1,xi_MI,xi_proxyEN,proxyEN_death,xi_hartree_lattice,chi_doubling_worst,time_s
0.0,32,8,32,64,3.9629073024692135e-15,9.596668276095443e-19,5,22.506397969947052,22.50639796994603,22.50639796847877,1.468283272743065e-09,1.468283272743065e-09,0.25,0.0,0.0,0.4369979429050981,0.7014177626898664,0.1354759376326533,0.2464545314591488,0.3159790747444984,0.040898452645399326,1.0600853528274656e-11,6,0.05255873516396281,0.8761313393558045,0.8517119112621377,-1,2.02047581265676,5.433076238786109e-05,263.10582280158997
0.25,32,8,32,64,8.488300172595487e-16,1.272469239381992e-19,5,22.68547122742095,22.685471227420713,22.684646678404807,0.0008245490161442603,-0.0071535855915100255,0.302649789037829,0.8260372518176506,0.012615493017771626,0.42132561216790926,0.7126550851811331,0.12288561660533248,0.23776205922682256,0.30025785671819016,0.037641995249303846,3.2018609985071996e-11,6,0.04592940661517031,0.808859939214634,0.6356371834996964,6,1.840181010625714,3.4295250263793524e-05,123.91929697990417
0.5,32,8,32,64,2.674015087788999e-16,2.6212259701682032e-20,5,22.85272175749834,22.85272175749829,22.84693911911554,0.005782638382800798,-0.026129900047813015,0.3521581054172871,1.4198168161074378,0.0216838757461657,0.4089886611208454,0.7228098231075104,0.11333222737260756,0.23045910586139826,0.28754691237679075,0.03504364507796927,1.6792700562018324e-10,6,0.04108177589623341,0.7594443019082153,0.45924738099305334,5,1.7092571276973871,2.0747229486325904e-05,95.99475407600403
1.0,32,8,32,64,4.576149500210154e-17,2.565669009996952e-21,5,23.161148640666998,23.16114864066698,23.123655192891086,0.0374934477759119,-0.09015670594654024,0.44461410140615865,2.2491414393680955,0.034349574503926436,0.39005968452090845,0.7409387313700003,0.09932838183304588,0.21849522882969122,0.26758594146465187,0.03104141911575155,1.1601326559350168e-09,6,0.03427999082881261,0.6893012374720263,nan,3,1.5266686086447896,7.20753592656749e-07,98.2374746799469
2.0,32,8,32,64,6.994824817255084e-18,1.4722895798778152e-22,5,23.706780224455898,23.706780224455894,,,,0.6124522245085822,3.265560838814415,0.049872641785247175,0.36405246825399273,0.7717470599106029,0.08148199130579109,0.20068199850077909,0.2395251705266451,0.025628450868058494,5.8910787185898965e-09,6,0.02617773508427418,0.6032864590133685,nan,2,1.3090980063553688,5.358431227017049e-07,95.66989803314209
4.0,32,8,32,64,7.15253837920209e-19,3.2120432767359657e-24,5,24.62752990222628,24.627529902226208,,,,0.9087036835895566,4.401874970066393,0.06722677800278555,0.33193134408312464,0.821493065594606,0.061864262668779244,0.17686965629756662,0.20458370547286933,0.01935023047390757,3.0112628603559024e-08,6,0.01809619664574741,0.5118301458388069,nan,2,1.0864563527413262,0.0011027294753276288,94.8411021232605
