control,L,m,lam,tau0,site,E_min,E_min_lam0,E_free_exact,E_hartree_exact,ratio_exact_over_hartree,control_lam0,ratio_hartree_normalized,footprint_center,footprint_edge_max,footprint_edge_over_center,footprint_profile,dS_edge_max,dS_max,trunc_op_weighted,time_s
L_sweep,16,0.5,4.0,0.75,8,-0.006565878279922499,-0.022942234970825703,-0.02265365013409959,-0.0075215105970971585,0.8729467565274088,1.0127389994556206,0.8619661699575561,0.03255598350088096,11.488913619030345,352.897144659121,"[0.22931781514345412, 2.2028688115189534, 2.176896843077082, 10.235790251879308, 7.249356409201059, 5.976090323480085, 1.2237142391449298, 0.1330960109345477, 0.03255598350088096, 0.17045554512024508, 1.2017774406336115, 10.199052909664339, 3.9277429551712757, 9.173085060297556, 7.688469725573245, 11.488913619030345]",0.30772527608174033,0.572848622229843,0.00012469946310242588,579.5082218647003
L_sweep,24,0.5,4.0,0.75,12,-0.0066357306260500515,-0.02284993798176649,-0.022665550565793446,-0.007521544255065349,0.8822298189073673,1.0081351395121774,0.8751106715060701,0.032676215133266184,0.050537964187744255,1.5466284568647557,"[0.050537964187744255, 0.07196669490688057, 5.33560246986097, 0.8452299492828561, 0.5478393092866563, 0.08009105839255554, 0.010906956249471633, 10.235877551102405, 1.030918188127566, 5.0080243131921724, 1.1375610049315386, 0.14131704092366826, 0.032676215133266184, 0.16898094090885257, 1.1751104678538995, 10.27547865555771, 3.864173758534152, 9.028268723220348, 0.02422453721453771, 0.0004837859125565447, 0.0001623492124041559, 0.00014904565972961858, 1.8906223404668854e-05, 1.8486694429165063e-06]",0.08401772656063125,0.2012580615236054,0.0001206602930834896,743.4005100727081
lattice_spacing_half,32,0.25,1.0,1.5,16,-0.005891759509437877,-0.017462846368834883,-0.014888820234756572,-0.003806808798560768,1.5476898949233704,1.1728831494700624,1.3195601758134685,,,,,,,0.0010815807374647732,2296.246618747711
