E_min,E_star,E_ref,E_ref_static,ref_consistency,E_free_exact,E_hartree_exact,mu_H2,bound_2d_flanagan,ratio_exact_over_free_exact,ratio_exact_over_hartree_exact,ratio_exact_over_bound2d,n_max,L,m,lam,tau0,dt,order,n_steps,chi_op_allowed,chi_op,chi_acc,chi_mpo,weight_decay,window_pad,trunc_op_weighted,trunc_acc,trunc_real,norm_ratio,h_ref_drift,dmrg_sweeps,dmrg_delta_E,dmrg_chi,dmrg_trunc,dmrg_real,mpo_variance,time_operator_s,time_dmrg_s,axis,time_s
-0.022637300351878942,0.9097946752129512,0.9324319755648302,0.932411147653579,2.0827911251131148e-05,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,0.9992782716196346,0.9992782716196346,0.3611121316451336,5,16,0.5,0.0,0.75,0.375,4,8,16,16,32,64,0.25,2,0.0002605689652720573,3.3976447197963816e-07,8.39436445496306e-12,0.9263185044107693,0.008456186551325628,6,1.1171619185290638e-11,12,1.8185426309933995e-07,True,1.3908538954998662e-06,39.20416307449341,21.333513259887695,convergence,62.04707407951355
-0.022942234970825703,0.9096846933825652,0.9326269283533909,0.9324108607458829,0.00021606760750803033,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.0127389994556206,1.0127389994556206,0.36597647450177295,6,16,0.5,0.0,0.75,0.375,4,8,16,16,32,64,0.25,2,0.00018776486294342593,6.533323226547717e-07,1.1190612243008835e-08,0.9129523097474587,0.006287493439234404,9,1.3578027591165664e-13,12,2.6389988099185596e-07,True,1.3986598049742227e-06,10.94576382637024,42.88641619682312,convergence,55.571200132369995
-0.022853273375306626,0.9098503769686003,0.9327036503439069,0.9324108431993723,0.00029280714453461254,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.0088119680504182,1.0088119680504182,0.3645573515987286,7,16,0.5,0.0,0.75,0.375,4,8,16,16,32,64,0.25,2,0.00013161761810613707,9.049852634508853e-07,2.3375245442123367e-08,0.9061219920819269,0.0034558933266208847,9,5.9159777077155695e-08,12,1.0014837343586159e-07,True,1.8649349982080565e-06,16.548595905303955,44.24182081222534,convergence,62.84517192840576
-0.02302302997698613,0.9096340698734203,0.9326570998504065,0.9324108607458829,0.00024623910452359343,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.0163055331348358,1.0163055331348358,0.36726532327999983,6,16,0.5,0.0,0.75,0.375,4,8,24,24,48,96,0.25,2,0.0001878925541585312,3.6848199741400045e-08,2.140100678094367e-09,0.9143374902515903,0.008062688119058081,9,4.7406523151494184e-14,12,2.4130180085332277e-06,True,1.7203774205221123e-06,14.176151752471924,52.285224199295044,convergence,68.43929386138916
-0.006380602821514314,1.015376136201816,1.0217567390233304,1.0219980363411585,0.00024129731782807085,-0.02265365013409959,-0.0075215105970971585,0.9087036615929707,-0.06268773150530625,0.28165892841745005,0.8483140107489625,0.10178391637882482,4,16,0.5,4.0,0.75,0.375,4,8,16,16,32,64,0.25,2,0.0007324472229462014,5.223627526846519e-07,3.304130298179339e-12,0.8959109654012214,0.016899120340768126,9,1.9984014443252818e-15,12,1.789478585930979e-08,True,2.6553920284833055e-07,14.78070878982544,16.840051889419556,convergence,32.40237593650818
-0.0065642898271891514,1.01543433214706,1.0219986219742492,1.0219679895164766,3.063245777257251e-05,-0.02265365013409959,-0.0075215105970971585,0.9087036615929707,-0.06268773150530625,0.2897674232775495,0.8727355685336087,0.10471410704395184,5,16,0.5,4.0,0.75,0.375,4,8,16,16,32,64,0.25,2,0.00023616675053199333,2.3029840900335733e-06,4.990848533254888e-12,0.8822546325677452,0.005456600993222871,9,5.140332604014475e-13,12,1.6416369492098998e-07,True,5.940859646447194e-07,36.07532024383545,23.693440914154053,convergence,60.68030071258545
-0.006565878279922499,1.0162797684930054,1.0228456467729279,1.0217569753173,0.0010886714556279653,-0.02265365013409959,-0.0075215105970971585,0.9087036615929707,-0.06268773150530625,0.2898375423410975,0.8729467565274088,0.10473944617642968,6,16,0.5,4.0,0.75,0.375,4,8,16,16,32,64,0.25,2,0.00012469946310242588,4.388125890809459e-06,2.7234825942236922e-08,0.846477723084281,0.0035295031909219343,9,7.363887277733738e-12,12,6.464590912525012e-08,True,1.0914304664488839e-06,10.567590951919556,31.426747798919678,convergence,43.17962408065796
-0.006808933623558611,1.0167764225325193,1.023585356156078,1.0217349103578566,0.0018504457982213562,-0.02265365013409959,-0.0075215105970971585,0.9087036615929707,-0.06268773150530625,0.300566733539749,0.9052614545522865,0.10861668559472858,7,16,0.5,4.0,0.75,0.375,4,8,16,16,32,64,0.25,2,6.129138148917999e-05,4.945467328724647e-06,1.2735239174312977e-07,0.835920900904783,0.004848138959814063,9,1.0614176204626347e-11,12,1.1058442530295504e-06,True,3.3491057216394893e-07,16.529688119888306,40.981812953948975,convergence,58.795093059539795
-0.00660573438612011,1.0157810223287063,1.0223867567148264,1.0217569753173,0.0006297813975264521,-0.02265365013409959,-0.0075215105970971585,0.9087036615929707,-0.06268773150530625,0.2915969102999774,0.8782457062108665,0.10537523415663817,6,16,0.5,4.0,0.75,0.375,4,8,24,24,48,96,0.25,2,0.00013059036510382929,1.4165339286210275e-07,1.2555512831093096e-08,0.8509675640762422,0.014903351071476223,9,2.4424906541753444e-15,12,1.0112392758645992e-07,True,1.0769666178855886e-06,14.476877927780151,59.803117990493774,convergence,75.76442313194275
