E_min,E_star,E_ref,E_ref_static,ref_consistency,E_free_exact,E_hartree_exact,mu_H2,bound_2d_flanagan,ratio_exact_over_free_exact,ratio_exact_over_hartree_exact,ratio_exact_over_bound2d,n_max,L,m,lam,tau0,dt,order,n_steps,chi_op_allowed,chi_op,chi_acc,chi_mpo,weight_decay,window_pad,trunc_op_weighted,trunc_acc,trunc_real,norm_ratio,h_ref_drift,dmrg_sweeps,dmrg_delta_E,dmrg_chi,dmrg_trunc,dmrg_real,mpo_variance,time_operator_s,time_dmrg_s,E_var,E_var_s_star,family_gap,family_quality,E_schroedinger_recheck,rel_dev_schroedinger,min_symplectic_margin,physical,time_s
-0.022942234970825703,0.9096846933825652,0.9326269283533909,0.9324108607458829,0.00021606760750803033,-0.02265365013409959,-0.02265365013409959,0.25,-0.06268773150530625,1.0127389994556206,1.0127389994556206,0.36597647450177295,6,16,0.5,0.0,0.75,0.375,4,8,16,16,32,64,0.25,2,0.00018776486294342593,6.533323226547717e-07,1.1190612243008835e-08,0.9129523097474587,0.006287493439234404,9,1.3578027591165664e-13,12,2.6389988099185596e-07,True,1.3986598049742227e-06,8.728651762008667,32.3581600189209,-0.016327011455934928,1.0,0.006615223514890776,0.7116574072533488,-0.02260925039758318,0.014514042492632532,3.412524169910114e-06,True,69.68050575256348
-0.015100750884612824,0.9453044360807648,0.9604051869653776,0.9601537874087035,0.0002513995566740812,-0.02265365013409959,-0.015730674218318197,0.44461335298997007,-0.06268773150530625,0.6665923943922086,0.9599557320326528,0.2408884565129719,6,16,0.5,1.0,0.75,0.375,4,8,16,16,32,64,0.25,2,0.00010333670406133042,9.231463033755847e-07,8.945377938367388e-09,0.9030333463127077,0.004762741450912711,9,1.4747536525305804e-11,12,1.357020744731216e-07,True,8.086308063148806e-07,8.92785096168518,32.802101850509644,-0.011328249272218368,1.0,0.0037725016123944556,0.7501778791517902,-0.014889891339420919,0.013963513920805326,7.374710948593322e-05,True,71.53665208816528
-0.006565878279922499,1.0162797684930054,1.0228456467729279,1.0217569753173,0.0010886714556279653,-0.02265365013409959,-0.0075215105970971585,0.9087036615929707,-0.06268773150530625,0.2898375423410975,0.8729467565274088,0.10473944617642968,6,16,0.5,4.0,0.75,0.375,4,8,16,16,32,64,0.25,2,0.00012469946310242588,4.388125890809459e-06,2.7234825942236922e-08,0.846477723084281,0.0035295031909219343,9,7.363887277733738e-12,12,6.464590912525012e-08,True,1.0914304664488839e-06,8.461798191070557,45.03767013549805,-0.005103452812072339,1.0,0.0014624254678501604,0.777268873179991,-0.00636106771106259,0.031193171747668603,0.0002966137481134057,True,82.01647877693176
