lam,passivity_worst_dE,passivity_passed,energy_density_closure,chi,trunc_err
0.0,0.012872369409089757,True,2.4868995751603507e-14,16,3.996474224162989e-11
0.25,0.00934143216002603,True,1.7763568394002505e-15,16,1.2195031977737001e-11
0.5,0.013992727830080653,True,2.842170943040401e-14,16,4.846557726024761e-12
1.0,0.009049352293475366,True,1.5987211554602254e-14,16,1.2356611699269882e-12
2.0,0.009484928145631955,True,2.511413299544074e-11,16,1.649037225144987e-13
4.0,0.048449078846179106,True,1.659117287999834e-12,16,1.2321851078894733e-14
