lam,tau0,dt,n_steps,L,E_min,E_min_lam0,E_free_exact,E_hartree_exact,ratio_exact_over_free,ratio_exact_over_hartree,control_lam0,ratio_hartree_normalized,residual_hartree_normalized,H_kinetic,H_gradient,H_mass,H_quartic,H_sum,H_audit_rel,H_frac_kinetic,H_frac_gradient,H_frac_mass,H_frac_quartic,phi2_star,phi2_vac,trunc_op_weighted,trunc_op_weighted_lam0,norm_ratio,time_s
4.0,0.375,0.1875,8,16,-0.023510535957683765,-0.037256529509124836,-0.03768350017899319,-0.02551082521120407,0.6238946978388649,0.9215905703966879,0.9886695591481608,0.9321522665173708,0.06784773348262918,-0.017442489987810006,-0.010566492899334007,0.0012898250491061407,0.0031646057118328783,-0.023554552126204994,-0.001872189073037429,0.7419009936313006,0.44943649597578156,-0.054861575738965544,-0.13460372479507915,0.3603653591886855,0.3318529008381029,5.841624514961235e-06,2.329205101606861e-06,0.941804849520434,558.3161499500275
4.0,0.5,0.25,8,16,-0.01801107795378387,-0.03396650334400608,-0.03392869565974699,-0.018874263937368796,0.5308508801637258,0.9542665088053622,1.001114327666417,0.9532043268522025,0.046795673147797534,-0.012349603854302948,-0.008523660169474756,0.0007579706925914947,0.001879986490337257,-0.018235306840848953,-0.012449498449812314,0.685667114760806,0.4732454210317854,-0.04208358292248998,-0.10437945442028908,0.35337809615763904,0.3318529008381029,2.0816268160707488e-05,1.7532990706190205e-05,0.9051616222236583,495.1700141429901
4.0,1.0,0.375,11,16,-0.0033385464952844224,-0.015001653533824433,-0.013825346937199834,-0.0025028922022463096,0.24148012418418244,1.3338754630695342,1.0850833329512704,1.2292838923639027,-0.22928389236390267,-0.0007823035363907493,-0.0021837633236424514,-7.737566260170026e-05,-0.00018029791801771333,-0.0032237404406526143,0.03438803527042906,0.23432458930727043,0.6541060089254228,0.023176452001189923,0.05400491449568778,0.33363855437833395,0.3318529008381029,0.00033954715257254167,0.0005712280649963169,0.8172242405298812,955.3632020950317
4.0,1.5,0.375,16,16,-0.0035380695758759906,-0.006200445980043545,-0.00439770573455478,-0.00017753410127330227,0.8045262210419775,19.928957594627757,1.4099274381466256,14.134739884787775,-13.134739884787775,0.0005668995274086264,0.001246772331292556,-0.00014520245007772214,-0.00035499631136162724,0.001313473097261833,1.371240041806309,-0.16022848484212404,-0.3523877370285653,0.04104002110862149,0.10033615895575872,0.32706487560299136,0.3318529008381029,0.0010089379697137842,0.001675331257451827,0.7712762164473201,1316.7322199344635
