E_free_exact,E_hartree_exact,E_min,E_min_analytic,E_min_trapezoid,E_ref,E_ref_static,E_star,E_star_even,E_star_odd,E_vac,L,axis,bound_2d_flanagan,chi_acc,chi_mpo,chi_op,chi_op_allowed,dim,dim_sectors,dmrg_chi,dmrg_delta_E,dmrg_real,dmrg_sweeps,dmrg_trunc,dt,gs_chi,h_ref_drift,h_vac,kernel,lam,m,mpo_variance,mu_H2,n_max,n_steps,norm_ratio,omega,order,ratio_exact_over_bound2d,ratio_exact_over_free_exact,ratio_exact_over_hartree_exact,ref_consistency,route,section,sector_star,svd_dense_limit,tag,tau0,threads,time_dmrg_s,time_gs_s,time_operator_s,time_s,trunc_acc,trunc_op_weighted,trunc_real,weight_decay,window_pad
-0.01989537780959383,-0.01989537780959383,-0.0018822117566573704,-0.0018822117566573704,-0.0018822120124778463,0.9412041811469198,,0.9393219693902625,0.9393219693902625,0.9393874947190044,4.303377753455142,6,,,,,,,64,"[32, 32]",,,,,,,,,0.7080234599929169,analytic,0.0,0.5,,0.25,1,,,1.2782188733130382,,,0.09460547945713008,0.09460547945713008,,ed,S5i,0,,ed_L6_nmax1_lam0,0.75,2,,,,0.0407869815826416,,,,,
-0.01989537780959383,-0.01989537780959383,-0.015268200815441668,-0.015268200815441668,-0.015268207217554619,0.9308474022691684,,0.9155792014537267,0.9155792014537267,0.9157078667684874,4.272306846281913,6,,,,,,,729,"[365, 364]",,,,,,,,,0.7002325443103372,analytic,0.0,0.5,,0.25,2,,,1.2782188733130382,,,0.7674245224978401,0.7674245224978401,,ed,S5i,0,,ed_L6_nmax2_lam0,0.75,2,,,,0.40196871757507324,,,,,
-0.01989537780959383,-0.01989537780959383,-0.018331778946851673,-0.018331778946851673,-0.01833185597268283,0.929703428303685,,0.9113716493568333,0.9115381575895669,0.9113716493568333,4.269694506345104,6,,,,,,,4096,"[2048, 2048]",,,,,,,,,0.6993719867167698,analytic,0.0,0.5,,0.25,3,,,1.2782188733130382,,,0.9214089384124102,0.9214089384124102,,ed,S5i,1,,ed_L6_nmax3_lam0,0.75,2,,,,31.565122842788696,,,,,
-0.01989537780959383,-0.01989537780959383,-0.020239465843851168,-0.020239465843851168,-0.02023965891998525,0.929597225960718,,0.9093577601168669,0.9093577601168669,0.9095682821327474,4.269509246527805,6,,,,,,,15625,"[7813, 7812]",,,,,,,,,0.699292095709236,analytic,0.0,0.5,,0.25,4,,,1.2782188733130382,,,1.0172948730881308,1.0172948730881308,,ed,S5i,0,,ed_L6_nmax4_lam0,0.75,2,,,,1176.9878630638123,,,,,
-0.021312432451604524,-0.021312432451604524,-0.016872037015867702,-0.016872037015867702,-0.016872046162989318,0.932236079556609,,0.9153640425407413,0.9153640425407413,0.9154973522648266,4.9745343487735765,7,,,,,,,2187,"[1094, 1093]",,,,,,,,,0.7012771806576483,analytic,0.0,0.5,,0.25,2,,,1.2723842984339961,,,0.7916523397402007,0.7916523397402007,,ed,S5i,0,,ed_L7_nmax2_lam0,0.75,2,,,,6.263841867446899,,,,,
-0.021312432451604524,-0.021312432451604524,-0.019887707973223145,-0.019887707973223145,-0.01988779587547307,0.9311770186961276,,0.9112893107229044,0.9112893107229044,0.9114565868297213,4.971200975997113,7,,,,,,,16384,"[8192, 8192]",,,,,,,,,0.7004804991832126,analytic,0.0,0.5,,0.25,3,,,1.2723842984339961,,,0.9331505457381934,0.9331505457381934,,ed,S5i,0,,ed_L7_nmax3_lam0,0.75,6,,,,1188.1601088047028,,,,,
-0.021766979926427732,-0.021766979926427732,-0.01723969864101993,-0.01723969864101993,-0.017239708223565575,0.9326157335540263,,0.9153760349130063,0.9153760349130063,0.9153973985772074,5.676667728977372,8,,,,,,,6561,"[3281, 3280]",,,,,,,,,0.7015627764319085,analytic,0.0,0.5,,0.25,2,,,1.2705719800120974,,,0.7920115100620303,0.7920115100620303,,ed,S5i,0,,ed_L8_nmax2_lam0,0.75,2,,,,505.33254504203796,,,,,
-0.01989537780959383,-0.006996472225372141,-0.000534866845223414,-0.000534866845223414,-0.0005348670351563722,1.0548919933532117,,1.0543571265079883,1.0543571265079883,1.0544600351640054,4.8057208899419726,6,,,,,,,64,"[32, 32]",,,,,,,,,0.7935454325570813,analytic,4.0,0.5,,0.9082070167465974,1,,,1.2782188733130382,,,0.02688397528020271,0.07644807668695698,,ed,S5i,0,,ed_L6_nmax1_lam4,0.75,2,,,,0.03514885902404785,,,,,
-0.01989537780959383,-0.006996472225372141,-0.0033085207983432063,-0.0033085207983432063,-0.0033085287632490523,1.0264408782903405,,1.0231323574919973,1.0231323574919973,1.023476445914678,4.664246341439974,6,,,,,,,729,"[365, 364]",,,,,,,,,0.7721430022120273,analytic,4.0,0.5,,0.9082070167465974,2,,,1.2782188733130382,,,0.16629595225619648,0.47288414671970297,,ed,S5i,0,,ed_L6_nmax2_lam4,0.75,2,,,,0.4218630790710449,,,,,
-0.01989537780959383,-0.006996472225372141,-0.003449656794064948,-0.003449656794064948,-0.0034496771785814673,1.0219757798328422,,1.0185261230387772,1.0187019334583989,1.0185261230387772,4.6466885159688855,6,,,,,,,4096,"[2048, 2048]",,,,,,,,,0.7687841194930463,analytic,4.0,0.5,,0.9082070167465974,3,,,1.2782188733130382,,,0.17338986105614318,0.4930565980888263,,ed,S5i,1,,ed_L6_nmax3_lam4,0.75,2,,,,31.13163185119629,,,,,
