axis,tau0,chi_op,lam,L,m,n_steps,dt,E_min,E_free_exact,E_hartree_exact,ratio_exact_over_free_exact,ratio_exact_over_hartree_exact,control_lam0,control_refcons_over_E_min,refcons_over_E_min,ratio_hartree_normalized,residual_hartree_normalized,ref_consistency,norm_ratio,trunc_op_weighted,time_s
a_half,1.5,32,0.0,32,0.25,16,0.375,-0.017665588525033193,-0.014888820234756572,-0.014888820234756572,1.1865002227506591,1.1865002227506591,1.1865002227506591,0.20014788661498115,0.20014788661498115,1.0,0.0,0.003535730209095256,0.826533946569902,0.008104383949647631,1957.2103850841522
a_half,1.5,32,1.0,32,0.25,16,0.375,-0.0077595670293511,-0.014888820234756572,-0.003806808798560768,0.521167352886504,2.03833904983217,1.1865002227506591,0.20014788661498115,1.7531990543469176,1.7179424080567773,-0.7179424080567773,0.013604065577999869,0.8251629722599383,0.005027673471177364,14837.180329799652
a_half,1.5,48,0.0,32,0.25,16,0.375,-0.01736059109375554,-0.014888820234756572,-0.014888820234756572,1.1660152261915855,1.1660152261915855,1.1660152261915855,0.10665978417038939,0.10665978417038939,1.0,0.0,0.00185167689913035,0.8238746557062874,0.00815826408921109,2192.8308420181274
a_half,1.5,48,1.0,32,0.25,16,0.375,-0.005370822846433754,-0.014888820234756572,-0.003806808798560768,0.3607285709512474,1.4108464939096204,1.1660152261915855,0.10665978417038939,0.38235306134297736,1.2099726163248294,-0.20997261632482944,0.0020535505572647494,0.8242179198514984,0.005023916375385948,2340.1852700710297
tau0,1.0,32,0.0,16,0.5,11,0.36363636363636365,-0.01432501605077019,-0.013825346937199834,-0.013825346937199834,1.0361415243928451,1.0361415243928451,1.0361415243928451,0.026942112334095606,0.026942112334095606,1.0,0.0,0.00038594619162757304,0.8833663974178243,0.0032703562571906584,906.4800491333008
tau0,1.0,32,4.0,16,0.5,11,0.36363636363636365,-0.003958064870701605,-0.013825346937199834,-0.0025028922022463096,0.28629045539910813,1.5813964609220081,1.0361415243928451,0.026942112334095606,0.3756498938156165,1.5262359665091791,-0.5262359665091791,0.0014868466483943799,0.8342345792492623,0.0035290982082954174,1393.28764128685
tau0,1.0,48,0.0,16,0.5,11,0.36363636363636365,-0.014356626253559046,-0.013825346937199834,-0.013825346937199834,1.038427919297251,1.038427919297251,1.038427919297251,0.07653625265241559,0.07653625265241559,1.0,0.0,0.0010988023741786979,0.8837153652206503,0.0032825980714526895,2221.9270889759064
tau0,1.0,48,4.0,16,0.5,11,0.36363636363636365,-0.004070078105677499,-0.013825346937199834,-0.0025028922022463096,0.2943924752243394,1.6261499804205164,1.038427919297251,0.07653625265241559,0.47625477116577414,1.5659729001903206,-0.5659729001903206,0.0019383941168462648,0.8340273210231224,0.0034523270861853833,2126.201562166214
tau0,1.5,32,0.0,16,0.5,16,0.375,-0.005510591470120119,-0.00439770573455478,-0.00439770573455478,1.253060528088746,1.253060528088746,1.253060528088746,1.1721334207419396,1.1721334207419396,1.0,0.0,0.006459148430183248,0.8441384653415913,0.007435215219198461,1535.3095018863678
tau0,1.5,32,4.0,16,0.5,16,0.375,-0.004750395138244823,-0.00439770573455478,-0.00017753410127330227,1.0801985000767107,26.757648835768723,1.253060528088746,1.1721334207419396,1.1322057391547908,21.353835857060577,-20.353835857060577,0.005378424638773804,0.7977042624735464,0.007905728993844494,1476.2939608097076
tau0,1.5,48,0.0,16,0.5,16,0.375,-0.0053538588617185745,-0.00439770573455478,-0.00439770573455478,1.217420897367203,1.217420897367203,1.217420897367203,0.639761056879877,0.639761056879877,1.0,0.0,0.003425190403758771,0.8462454563712462,0.007182639458938166,2662.7322659492493
tau0,1.5,48,4.0,16,0.5,16,0.375,-0.0019248737173302999,-0.00439770573455478,-0.00017753410127330227,0.4376995264157147,10.842275954449343,1.217420897367203,0.639761056879877,6.543339783125414,8.905938757825558,-7.905938757825558,0.012595102772099853,0.8002150987222417,0.00780183164921148,2696.1314058303833
