d E_B W_site bound_region negativity
1.000000000000000000e+00 3.263716782265979610e-02 3.263716782243530207e-02 9.188313378632798623e-01 1.643661184459849489e-01
2.000000000000000000e+00 1.154574363437466328e-03 1.154574363185111984e-03 1.423553650067124199e-01 2.143247102361236708e-02
3.000000000000000000e+00 1.899154139365366860e-04 1.899154137410263301e-04 1.213409826209608383e-01 0.000000000000000000e+00
4.000000000000000000e+00 5.430080294954731102e-05 5.430080282220471654e-05 1.093302792855794930e-01 0.000000000000000000e+00
5.000000000000000000e+00 2.102421790928232781e-05 2.102421772054441024e-05 1.008894339516552968e-01 0.000000000000000000e+00
6.000000000000000000e+00 9.855344669240651001e-06 9.855344189624300975e-06 9.361888265566320477e-02 0.000000000000000000e+00
7.000000000000000000e+00 5.212273140875467448e-06 5.212273038068814520e-06 8.411524718354779218e-02 0.000000000000000000e+00
8.000000000000000000e+00 2.907000008045557138e-06 2.906999615248650178e-06 4.670805666572785952e-02 0.000000000000000000e+00
9.000000000000000000e+00 1.804573613650717546e-06 1.804573353858529148e-06 2.787650946362019502e-02 0.000000000000000000e+00
