k_over_h W_arrow_over_E_A
9.478467333698759045e-02 4.403253976841129021e-03
9.739350503317263652e-02 4.643865933383378025e-03
9.746571415265559146e-02 4.650611057920021017e-03
9.753797680914737256e-02 4.657365771836047448e-03
1.002968964498078819e-01 4.918678448515754163e-03
1.003712581906349571e-01 4.925813781685069344e-03
1.004456750644590751e-01 4.932959233117125211e-03
1.032103188789839643e-01 5.201831762289798634e-03
1.032868406783099963e-01 5.209368106334382083e-03
1.033634192121354323e-01 5.216915109166660874e-03
1.062083703500474458e-01 5.500876960666592312e-03
1.062871149532125803e-01 5.508835676034862759e-03
1.063659179388997955e-01 5.516805616213931070e-03
1.092935091658723129e-01 5.816658029590536343e-03
1.093745411408421353e-01 5.825061476997079289e-03
1.094556331942284910e-01 5.833476741537683453e-03
1.124682650380698368e-01 6.150058179803429871e-03
1.125516508283790351e-01 6.158929750857959629e-03
1.126350984422615498e-01 6.167813758450258615e-03
1.127186079255543261e-01 6.176710218978477898e-03
1.158210491405022302e-01 6.511365157231640763e-03
1.159069207391594664e-01 6.520742387735456967e-03
1.159928560044084789e-01 6.530132719136214244e-03
1.191854168755049487e-01 6.883333887285686056e-03
1.192737828708026748e-01 6.893229909785287754e-03
1.193622143820782244e-01 6.903139709692710825e-03
1.226475127034608037e-01 7.275844714898058348e-03
1.227384455525874080e-01 7.286286213952671009e-03
1.228294458207987577e-01 7.296742196126670618e-03
1.262101754282415333e-01 7.689949970472193669e-03
1.263037496931204706e-01 7.700964770146618600e-03
1.263973933354725077e-01 7.711994788443594061e-03
1.264911064067351931e-01 7.723040044799732093e-03
1.298763263152422909e-01 8.126746420881878624e-03
1.299726187236704411e-01 8.138363506120694854e-03
1.300689825248472764e-01 8.149996575787526662e-03
1.301654177717045391e-01 8.161645650110457145e-03
1.337480609952844124e-01 8.599625572238634580e-03
1.338472239704102951e-01 8.611891888040122331e-03
1.339464604665693559e-01 8.624175005831982016e-03
1.376331722455360618e-01 9.085939973780616380e-03
1.377352157049650250e-01 9.098870924415126266e-03
1.378373348210648885e-01 9.111819505431828503e-03
1.416311381369280142e-01 9.598542049061496023e-03
1.417361457529158764e-01 9.612170227281374019e-03
1.418412312232482375e-01 9.625816895531935646e-03
1.419463946056475356e-01 9.639482076479570505e-03
1.457452368690294320e-01 1.013871376977832847e-02
1.458532947443422212e-01 1.015307297758154259e-02
1.459614327355110430e-01 1.016745156638262579e-02
1.460696509019351330e-01 1.018184955965888670e-02
1.499788418664912137e-01 1.070778383817178568e-02
1.500900386050063873e-01 1.072290908637600799e-02
1.502013177865816063e-01 1.073805463777398155e-02
1.503126794723414206e-01 1.075322051664664470e-02
1.544498513245012583e-01 1.132305505515601371e-02
1.545643629417248199e-01 1.133900381298129020e-02
1.546789594597130224e-01 1.135497385223360224e-02
1.589363078048061928e-01 1.195493357573288243e-02
1.590541457534101477e-01 1.197172297151516754e-02
1.591720710689746576e-01 1.198853463316154958e-02
1.592900838162749633e-01 1.200536858655076519e-02
1.635530867915885311e-01 1.262001283873679519e-02
1.636743476947865317e-01 1.263768146964770744e-02
1.637956985027789469e-01 1.265537338065888390e-02
1.639171392822226792e-01 1.267308859841078522e-02
1.683039738906530192e-01 1.331980551805921065e-02
1.684287571783679993e-01 1.333839311601974463e-02
1.685536329824302848e-01 1.335700503719367688e-02
1.686786013714329513e-01 1.337564130895374861e-02
1.731928646720131137e-01 1.405586739705163776e-02
1.733212726624066835e-01 1.407541478810328366e-02
1.734497758565607117e-01 1.409498757316691130e-02
1.735783743250608191e-01 1.411458578031399465e-02
1.783559058474993020e-01 1.485034465393991754e-02
1.784881418001067199e-01 1.487092019795745179e-02
1.786204757945876465e-01 1.489152226172047247e-02
1.787529079036318802e-01 1.491215087397262419e-02
1.835367849660486939e-01 1.566481996252349143e-02
1.836728621062093392e-01 1.568644113864065340e-02
1.838090401361620330e-01 1.570808995653182397e-02
1.839453191307081625e-01 1.572976644554313977e-02
1.888681581672778109e-01 1.652051436541651652e-02
1.890081880737380371e-01 1.654322494897727744e-02
1.891483218006352052e-01 1.656596431856351831e-02
1.892885594249434367e-01 1.658873250406643282e-02
1.943543970005710275e-01 1.741913473185508626e-02
1.944984944932146576e-01 1.744297931089929671e-02
1.946426988220693877e-01 1.746685383994001778e-02
1.947870100663453008e-01 1.749075834934087428e-02
2.000000000000000389e-01 1.836241741967845065e-02
2.001482832339967211e-01 1.838744129086529455e-02
2.002966764075808648e-01 1.841249629284215025e-02
2.004451796022634069e-01 1.843758245636514109e-02
2.005937928996157638e-01 1.846269981220131223e-02
2.059621869356613733e-01 1.937837301412142707e-02
2.061148906314606843e-01 1.940465438822305821e-02
2.062677075442492236e-01 1.943096811847865382e-02
2.064206377579679841e-01 1.945731423595303475e-02
2.119449728066160610e-01 2.041755672123377746e-02
2.121021122366015810e-01 2.044511081589650905e-02
2.122593681723014825e-01 2.047269847098358991e-02
2.124167407000949470e-01 2.050031971775700609e-02
2.181015465330515823e-01 2.150678917331971460e-02
2.182632505463495964e-01 2.153566263248712920e-02
2.184250744496178398e-01 2.156457086179596264e-02
2.185870183317446536e-01 2.159351389258963930e-02
2.244369563014422808e-01 2.264787537526209010e-02
2.246033574899860830e-01 2.267811496661473192e-02
2.247698820510617423e-01 2.270839053858269077e-02
2.249365300761397013e-01 2.273870212246104777e-02
2.251033016567581257e-01 2.276904974954350666e-02
2.309563969378916892e-01 2.384262158998796607e-02
2.311276317451425311e-01 2.387427401450861048e-02
2.312989935086484095e-01 2.390596362569254174e-02
2.314704823225366415e-01 2.393769045464727574e-02
2.316420982810044604e-01 2.396945453247392374e-02
2.378414230005442831e-01 2.512593930401862963e-02
2.380177624774487688e-01 2.515908936899205472e-02
2.381942326952928568e-01 2.519227784733385489e-02
2.383708337510099806e-01 2.522550476979973713e-02
2.447502363425773098e-01 2.643489521087512978e-02
2.449316981254089920e-01 2.646955163261457272e-02
2.451132944469407160e-01 2.650424764685360007e-02
2.452950254069216351e-01 2.653898328383537397e-02
2.518597367692775313e-01 2.780290171801366728e-02
2.520464696506860558e-01 2.783910963864292057e-02
2.522333409788723446e-01 2.787535830772561868e-02
2.524203508564830667e-01 2.791164775480957719e-02
2.526074993862409412e-01 2.794797800942287747e-02
2.591757538354407253e-01 2.923168441695518996e-02
2.593679109302019503e-01 2.926948794893991998e-02
2.595602104933404930e-01 2.930733335493768826e-02
2.597526526304845818e-01 2.934522066360983200e-02
2.599452374473409377e-01 2.938314990359239959e-02
2.667042864326648610e-01 3.072292375958134841e-02
2.669020253032299284e-01 3.076236569772037438e-02
2.670999107805910877e-01 3.080185059733566225e-02
2.672979429734450019e-01 3.084137848599586770e-02
2.674961219905688803e-01 3.088094939123795304e-02
2.746549904939334374e-01 3.231936509405202579e-02
2.748586241450523548e-01 3.236053061158335881e-02
2.750624087734528933e-01 3.240174015804157814e-02
2.752663444910721791e-01 3.244299375964743853e-02
2.826331636768953937e-01 3.394203922520868527e-02
2.828427124746190624e-01 3.398492452794384111e-02
2.830524166352097470e-01 3.402785484437488572e-02
2.832622762738560285e-01 3.407083019917878097e-02
2.834722915058317527e-01 3.411385061698974513e-02
2.908430866897908085e-01 3.563185920467453610e-02
2.910587224571904996e-01 3.567650116202321364e-02
2.912745181004350314e-01 3.572118905370089137e-02
2.914904737380588640e-01 3.576592290260031948e-02
2.917065894886844424e-01 3.581070273156703593e-02
2.992914913974766833e-01 3.739020072243028070e-02
2.995133909487373014e-01 3.743663355048409275e-02
2.997354550199132772e-01 3.748311315998677923e-02
2.999576837329824275e-01 3.752963957180175530e-02
3.001800772100128856e-01 3.757621280673745928e-02
3.079853052118984857e-01 3.921833006988347664e-02
3.082136504972998736e-01 3.926658496347355115e-02
3.084421650815882265e-01 3.931488740245065588e-02
3.086708490902844715e-01 3.936323740539644095e-02
3.088997026490025166e-01 3.941163499082868393e-02
3.171666350274487400e-01 4.116749448190501481e-02
3.174017874992373645e-01 4.121764745289228232e-02
3.176371143168709721e-01 4.126784865617421499e-02
3.178726156096124411e-01 4.131809810771955305e-02
3.181082915068203509e-01 4.136839582342867472e-02
3.263796856898657506e-01 4.314036224355593391e-02
3.266216688663903245e-01 4.319238965473870540e-02
3.268638314531549516e-01 4.324446586317588076e-02
3.271061735831770623e-01 4.329659088202741923e-02
3.273486953895730633e-01 4.334876472437741712e-02
3.358603568808447015e-01 4.518603447790042055e-02
3.361093691802926609e-01 4.523995605414551924e-02
3.363585661014859007e-01 4.529392687915505950e-02
3.366079477813059828e-01 4.534794696301813755e-02
3.368575143567361097e-01 4.540201631574302538e-02
3.456164224366460314e-01 4.730518846539608080e-02
3.458726680408524268e-01 4.736101935926938927e-02
3.461291036296932910e-01 4.741689982993380070e-02
3.463857293440262275e-01 4.747282988415173210e-02
3.466425453248134780e-01 4.752880952859423608e-02
3.556558820077846406e-01 4.949831757217645900e-02
3.559195710296549353e-01 4.955606797904649197e-02
3.561834555548299419e-01 4.961386815738265399e-02
3.564475357282588797e-01 4.967171811036617118e-02
3.567118116949986040e-01 4.972961784108294314e-02
3.569762836002133843e-01 4.978756735252219678e-02
3.662583162742742426e-01 5.182539130708532088e-02
3.665298661123509993e-01 5.188511591197054323e-02
3.668016172818686083e-01 5.194489033941796646e-02
3.670735699320974432e-01 5.200471458868188845e-02
3.673457242124187339e-01 5.206458865891783194e-02
3.768973812032646586e-01 5.416906542916129913e-02
3.771768190161132739e-01 5.423071347370241047e-02
3.774564640086747747e-01 5.429241123637540412e-02
3.777363163345556218e-01 5.435415871237529034e-02
3.780163761474761297e-01 5.441595589679124045e-02
3.878454894973716316e-01 5.658693944384979302e-02
3.881330444147401693e-01 5.665050389121772945e-02
3.884208125299741798e-01 5.671411779132790043e-02
3.887087940011420550e-01 5.677778113510006941e-02
3.889969889864293706e-01 5.684149391334371304e-02
3.991116182426603376e-01 5.907862259460876231e-02
3.994075260500536961e-01 5.914409003757341299e-02
3.997036532482803328e-01 5.920960649899795203e-02
4.000000000000001332e-01 5.927517196533333560e-02
4.002965664679935531e-01 5.934078642291285011e-02
4.005933528151617296e-01 5.940644985795152933e-02
4.107050052914292815e-01 6.164347241767743901e-02
4.110095086234454853e-01 6.171082278718043740e-02
4.113142377191558730e-01 6.177822156485986149e-02
4.116191927459453836e-01 6.184566873252398539e-02
4.119243738713227465e-01 6.191316427186164401e-02
4.122297812629213687e-01 6.198070816443761177e-02
4.229485053762256919e-01 6.434979042121302673e-02
4.232620862371820891e-01 6.441904434509568289e-02
4.235758995920592684e-01 6.448834586174394257e-02
4.238899456132321220e-01 6.455769494805524422e-02
4.242042244732032730e-01 6.462709158080172378e-02
4.352343058901653183e-01 6.705980946809794729e-02
4.355569956422838396e-01 6.713088422694536705e-02
4.358799246418025297e-01 6.720200559402383922e-02
4.362030930661031647e-01 6.727317354132626714e-02
4.365265010926992484e-01 6.734438804071883611e-02
4.478769841146292285e-01 6.983941718116751241e-02
4.482090473528152486e-01 6.991227115134419912e-02
4.485413567880555674e-01 6.998517055411360155e-02
4.488739126028845616e-01 7.005811535648315269e-02
4.492067149799721659e-01 7.013110552533201314e-02
4.495397641021234847e-01 7.020414102740958617e-02
4.608869066268805881e-01 7.268686584691197439e-02
4.612286156319874708e-01 7.276144997102346190e-02
4.615705779856761337e-01 7.283607815854567513e-02
4.619127938757834340e-01 7.291075037145769433e-02
4.622552634902851731e-01 7.298546657160838447e-02
4.625979870172968744e-01 7.306022672071657564e-02
4.742747411323311457e-01 7.560011910439826122e-02
4.746263760944213206e-01 7.567637682423405954e-02
4.749782717643585284e-01 7.575267704377830480e-02
4.753304283354354287e-01 7.582901971997552115e-02
4.756828460010885107e-01 7.590540480964107217e-02
4.760355249548975376e-01 7.598183226946075841e-02
4.884133144597979093e-01 7.865471768695991850e-02
4.887754319887737120e-01 7.873262567677004331e-02
4.891378179975408580e-01 7.881057436058977461e-02
4.895004726851547305e-01 7.888856369023851400e-02
4.898633962508180950e-01 7.896659361740689109e-02
5.026007355607838845e-01 8.169384924490913358e-02
5.029733718731742576e-01 8.177329328867176395e-02
5.033462844641521938e-01 8.185277607214726248e-02
5.037194735385550626e-01 8.193229754224048977e-02
5.040929393013721116e-01 8.201185764572831161e-02
5.044666819577446892e-01 8.209145632926390102e-02
5.172002726126204708e-01 8.479086220092693638e-02
5.175837332578553385e-01 8.487176324655101856e-02
5.179674782070131656e-01 8.495270088988675361e-02
5.183515076708814506e-01 8.503367507304658568e-02
5.187358218604040117e-01 8.511468573802195847e-02
5.191204209866810970e-01 8.519573282668195524e-02
5.322238967519742348e-01 8.794256710401038291e-02
5.326184961550777253e-01 8.802483894853604940e-02
5.330133881205595392e-01 8.810714506673887614e-02
5.334085728653297220e-01 8.818948539611184967e-02
5.338040506064599677e-01 8.827185987402887124e-02
5.341998215611822864e-01 8.835426843774926708e-02
5.476839268528723714e-01 9.114550275329982854e-02
5.480899885722810838e-01 9.122905229484595813e-02
5.484963513524147016e-01 9.131263361141656043e-02
5.489030154164844522e-01 9.139624663609643984e-02
5.493099809878668749e-01 9.147989130186297280e-02
5.497172482901047097e-01 9.156356754158057054e-02
5.640108966206419661e-01 9.448067475146416927e-02
5.644290634194434331e-01 9.456543141907243488e-02
5.648475402538712942e-01 9.465021712650965868e-02
5.652663273537908983e-01 9.473503180261302892e-02
5.656854249492382358e-01 9.481987537611466510e-02
5.661048332704194941e-01 9.490474777564719688e-02
5.803942749172634752e-01 9.777573098528365148e-02
5.808245886176530703e-01 9.786155697237815254e-02
5.812552213595781891e-01 9.794740917666436286e-02
5.816861733795816169e-01 9.803328752314284522e-02
5.821174449143811103e-01 9.811919193671890527e-02
5.825490362008701739e-01 9.820512234220434011e-02
5.972535572895306677e-01 1.011100150102132028e-01
5.976963707344852272e-01 1.011967985514552193e-01
5.981395124884884007e-01 1.012836053453767676e-01
5.985829827949533666e-01 1.013704353134834701e-01
5.990267818974746028e-01 1.014572883772007911e-01
5.994709100398266655e-01 1.015441644578622821e-01
6.146025677904020101e-01 1.044791087437610816e-01
6.150582440722752731e-01 1.045667328511613592e-01
6.155142581999121232e-01 1.046543771188525873e-01
6.159706104237969715e-01 1.047420414652300846e-01
6.164273009945998583e-01 1.048297258086163669e-01
6.168843301631764531e-01 1.049174300672564009e-01
6.324555320336759934e-01 1.078784028338914819e-01
6.329244447919213368e-01 1.079667458644952421e-01
6.333937052096678677e-01 1.080551058505258288e-01
6.338633135446761768e-01 1.081434827076847432e-01
6.343332700548974801e-01 1.082318763516085663e-01
6.348035749984747289e-01 1.083202866978715401e-01
6.352742286337419442e-01 1.084087136619849290e-01
6.513096225860656174e-01 1.113920558524019583e-01
6.517925140719168509e-01 1.114810057821466471e-01
6.522757635813239974e-01 1.115699692800880272e-01
6.527593713797316122e-01 1.116589462596257604e-01
6.532433377327808710e-01 1.117479366341081332e-01
6.537276629063099032e-01 1.118369403168340825e-01
6.702288526913565692e-01 1.148377381838252553e-01
6.707257712003313888e-01 1.149271489290659837e-01
6.712230581327242041e-01 1.150165698619663585e-01
6.717207137616895141e-01 1.151060008941614532e-01
6.722187383605853217e-01 1.151954419372489546e-01
6.727171322029719125e-01 1.152848929027868313e-01
6.896976482496431915e-01 1.182987517964366186e-01
6.902090012384551887e-01 1.183884915793213533e-01
6.907207333526415027e-01 1.184782381103862414e-01
6.912328448732920627e-01 1.185679912999977603e-01
6.917453360817049646e-01 1.186577510584936462e-01
6.922582072593865821e-01 1.187475172961866277e-01
7.097319730282377614e-01 1.217699669988695638e-01
7.102581797893952054e-01 1.218599021266544569e-01
7.107847766887541718e-01 1.219498405235554250e-01
7.113117640155693921e-01 1.220397820991737659e-01
7.118391420593099816e-01 1.221297267630969269e-01
7.123669111096598838e-01 1.222196744249037376e-01
7.128950714565178703e-01 1.223096249941571095e-01
7.303482545096755540e-01 1.252461943103072850e-01
7.308897465152881523e-01 1.253361899327250228e-01
7.314316399918298073e-01 1.254261853254309278e-01
7.319739352369574181e-01 1.255161803977823121e-01
7.325166325485485963e-01 1.256061750591373483e-01
7.330597322247019987e-01 1.256961692188519331e-01
7.336032345637372165e-01 1.257861627862872089e-01
7.521206186172788577e-01 1.288121348941688171e-01
7.526782530056997933e-01 1.289020520465907760e-01
7.532363008332733090e-01 1.289919653804211530e-01
7.537947624065295393e-01 1.290818748053032261e-01
7.543536380322266588e-01 1.291717802309002294e-01
7.549129280173496603e-01 1.292616815668859720e-01
7.739682047070631787e-01 1.322825173764234363e-01
7.745420372490862126e-01 1.323722214629713678e-01
7.751162952398347183e-01 1.324619182536071749e-01
7.756909789947432632e-01 1.325516076587837933e-01
7.762660888294803385e-01 1.326412895889811927e-01
7.768416250599484707e-01 1.327309639547059605e-01
7.964504190813748163e-01 1.357421481686034159e-01
7.970409203006719734e-01 1.358315055466789989e-01
7.976318593271214397e-01 1.359208521923021273e-01
7.982232364853206752e-01 1.360101880172396027e-01
7.988150521001075033e-01 1.360995129333011644e-01
7.994073064965607767e-01 1.361888268523347989e-01
8.000000000000000444e-01 1.362781296862326796e-01
8.195856964111133403e-01 1.391858981126099792e-01
8.201933504991197887e-01 1.392747770820976227e-01
8.208014551116928903e-01 1.393636419427759232e-01
8.214100105828586740e-01 1.394524926082223448e-01
8.220190172468911927e-01 1.395413289920680033e-01
8.226284754383118569e-01 1.396301510079972774e-01
8.232383854918908783e-01 1.397189585697488357e-01
8.433930068571646732e-01 1.426087270649973315e-01
8.440183120700995856e-01 1.426969986060379059e-01
8.446440808944304379e-01 1.427852527408297323e-01
8.452703136738867196e-01 1.428734893852337540e-01
8.458970107524513837e-01 1.429617084551757511e-01
8.465241724743640672e-01 1.430499098666504487e-01
8.471517991841186479e-01 1.431380935357152717e-01
8.685353406927243114e-01 1.460932503425598494e-01
8.691792868385161963e-01 1.461807682163674404e-01
8.698237104163930589e-01 1.462682654018452877e-01
8.704686117803307477e-01 1.463557418176652525e-01
8.711139912845679012e-01 1.464431973825737476e-01
8.717598492836051705e-01 1.465306320153949848e-01
8.937645395181592622e-01 1.494587568210891948e-01
8.944271909999160775e-01 1.495454169735039029e-01
8.950903337821963790e-01 1.496320533536039388e-01
8.957539682292585681e-01 1.497186658832204142e-01
8.964180947056304971e-01 1.498052544842730094e-01
8.970827135761112459e-01 1.498918190787658089e-01
9.197265956535407572e-01 1.527889118900768450e-01
9.204084958235221325e-01 1.528745975591178918e-01
9.210909015653160337e-01 1.529602565013022664e-01
9.217738132537611762e-01 1.530458886420043019e-01
9.224572312639750526e-01 1.531314939066971692e-01
9.231411559713523785e-01 1.532170722209474922e-01
9.238255877515666459e-01 1.533026235104196777e-01
9.464427971247172389e-01 1.560793018671181309e-01
9.471445051184700370e-01 1.561639015615859383e-01
9.478467333698757935e-01 1.562484717181792937e-01
9.485494822646625135e-01 1.563330122661630850e-01
9.492527521888428632e-01 1.564175231349035633e-01
9.499565435287170567e-01 1.565020042538743661e-01
9.506608566708709684e-01 1.565864555526564617e-01
9.739350503317263374e-01 1.593257265994367788e-01
9.746571415265560256e-01 1.594091346144988763e-01
9.753797680914737533e-01 1.594925104367441726e-01
9.761029304234116744e-01 1.595758539996287861e-01
9.768266289195958185e-01 1.596591652367187197e-01
9.775508639775474240e-01 1.597424440816946345e-01
9.782756359950818270e-01 1.598256904683493240e-01
1.002968964498078819e+00 1.626063351167276183e-01
1.003712581906349710e+00 1.626884173075711926e-01
1.004456750644590945e+00 1.627704647555549000e-01
1.005201471121567769e+00 1.628524773987047869e-01
1.005946743746348737e+00 1.629344551751641945e-01
