k_over_h rate_closed_form
4.689931353557571375e-02 1.094359804754274331e-03
4.788441712018892682e-02 1.140577741571646795e-03
4.889021245910003116e-02 1.188737124515086216e-03
4.991713417533000241e-02 1.238918605245213633e-03
5.096562602100351141e-02 1.291206108336313049e-03
5.203614106910254417e-02 1.345686957417359603e-03
5.312914190924761942e-02 1.402452005596065273e-03
5.424510084759163325e-02 1.461595770257407331e-03
5.538450011091203967e-02 1.523216572329358582e-03
5.654783205499015752e-02 1.587416680098761076e-03
5.773559937736733039e-02 1.654302457664355271e-03
5.894831533456985212e-02 1.723984518097764363e-03
6.018650396389691598e-02 1.796577881391682452e-03
6.145070030986686527e-02 1.872202137247595127e-03
6.274145065541981980e-02 1.950981612771111049e-03
6.405931275797713265e-02 2.033045545110052400e-03
6.540485609045840198e-02 2.118528259078076431e-03
6.677866208736170373e-02 2.207569349786036444e-03
6.818132439601223838e-02 2.300313870289581730e-03
6.961344913308835369e-02 2.396912524251516505e-03
7.107565514653624295e-02 2.497521863597444367e-03
7.256857428298529866e-02 2.602304491125436055e-03
7.409285166078127816e-02 2.711429268009316138e-03
7.564914594875388199e-02 2.825071526118119302e-03
7.723812965083973192e-02 2.943413285040686993e-03
7.886048939668435787e-02 3.066643473685766799e-03
8.051692623834723339e-02 3.194958156293334524e-03
8.220815595323990865e-02 3.328560762664486191e-03
8.393490935342667880e-02 3.467662322376647774e-03
8.569793260142208324e-02 3.612481702721234787e-03
8.749798753262197359e-02 3.763245850049371736e-03
8.933585198450663678e-02 3.920190034174873481e-03
9.121232013275909489e-02 4.083558095430912457e-03
9.312820283444325775e-02 4.253602693925201579e-03
9.508432797839032335e-02 4.430585560483352343e-03
9.708154084294533248e-02 4.614777748710863735e-03
9.912070446122760170e-02 4.806459887532330520e-03
1.012026999940636024e-01 5.005922433510090128e-03
1.033284271107529212e-01 5.213465922157115885e-03
1.054988043778324613e-01 5.429401217389385505e-03
1.077147696560060153e-01 5.654049758177535911e-03
1.099772805054117231e-01 5.887743801364286531e-03
1.122873145994014443e-01 6.130826659527697890e-03
1.146458701470120661e-01 6.383652932664130898e-03
1.170539663243101575e-01 6.646588732369510671e-03
1.195126437147969733e-01 6.920011897077189660e-03
1.220229647590643507e-01 7.204312196804684570e-03
1.245860142138949384e-01 7.499891525742271615e-03
1.272028996210061713e-01 7.807164080885528427e-03
1.298747517856395639e-01 8.126556524793573238e-03
1.326027252652030863e-01 8.458508130417362672e-03
1.353879988681769564e-01 8.803470905805792224e-03
1.382317761634987985e-01 9.161909696363096725e-03
1.411352860006485910e-01 9.534302262182027532e-03
1.440997830406571811e-01 9.921139327839469807e-03
1.471265482982692940e-01 1.032292460189378376e-02
1.502168896954936828e-01 1.074017476317861396e-02
1.533721426267808108e-01 1.117341941084797237e-02
1.565936705360719550e-01 1.162320097498266772e-02
1.598828655059686688e-01 1.209007458443700153e-02
1.632411488592781235e-01 1.257460788846908456e-02
1.666699717731928709e-01 1.307738082858354682e-02
1.701708159063721471e-01 1.359898535689247137e-02
1.737451940391941396e-01 1.414002509721046588e-02
1.773946507274566653e-01 1.470111494500623596e-02
1.811207629698090016e-01 1.528288060226833285e-02
1.849251408892021165e-01 1.588595804329249669e-02
1.888094284286534752e-01 1.651099290737103459e-02
1.927753040616251579e-01 1.715863981436819424e-02
1.968244815173240958e-01 1.782956159919232147e-02
2.009587105212363722e-01 1.852442846123714820e-02
2.051797775512166078e-01 1.924391702496874856e-02
2.094895066094580038e-01 1.998870930796889031e-02
2.138897600106786645e-01 2.075949159292914473e-02
2.183824391868620929e-01 2.155695320032310555e-02
