d E_B W_site bound_region negativity
1.000000000000000000e+00 9.327654928054095488e-04 1.157469269244159465e-02 3.415058721900409711e-01 5.822676113639892181e-02
2.000000000000000000e+00 4.263688695549383567e-06 4.263688651029438586e-06 1.299643865383355301e-01 2.913928578385893090e-03
3.000000000000000000e+00 1.923268285741741579e-07 1.923268193593229476e-07 1.324205444834580803e-01 0.000000000000000000e+00
4.000000000000000000e+00 4.693744370953822247e-08 4.693732247318391355e-08 1.327537662654150186e-01 0.000000000000000000e+00
5.000000000000000000e+00 2.684474142977677171e-08 2.684470779001911564e-08 1.327025814568181250e-01 0.000000000000000000e+00
6.000000000000000000e+00 2.004274346489864911e-08 2.004254273657578365e-08 1.321777875113634426e-01 0.000000000000000000e+00
7.000000000000000000e+00 1.635481017281392724e-08 1.635480462169879749e-08 1.289666563423472745e-01 0.000000000000000000e+00
8.000000000000000000e+00 1.405205618532079205e-08 1.405200755755230519e-08 9.829577641918695041e-02 0.000000000000000000e+00
9.000000000000000000e+00 1.856357689788978860e-08 1.856339792993820910e-08 1.474989262915805677e-01 0.000000000000000000e+00
